name,nation,caliber_mm,he_dice,he_target,ap_0_10,ap_10_20,ap_20_30,ap_30_40,ap_40_50,ap_50_70
15mm Besa,british,15,,,,,,,,
2 pdr,british,40,,,,,,,,
3in Howitzer,british,76,,,,,,,,
6 pdr,british,57,,,,,,,,
17 pdr,british,76,,,,,,,,
75mmL40,british,75,,,,,,,,
76mmL53,british,76,,,,,,,,
77mmL50,british,77,,,,,,,,
95mmL20,british,95,,,,,,,,
105mmL22,british,105,,,,,,,,
25 pdr,british,87,,,,,,,,
37mmL53,british,37,,,,,,,,
40mmL60,british,40,,,,,,,,
20mm Oerlikon,british,20,,,,,,,,
280mm Petard,british,280,,,,,,,,
