name,common_name,nation,caliber_mm,ROF,he_dice,he_target,he_shell_classification,he_0_10,he_10_20,he_20_30,he_30_40,he_40_50,he_50_70,ap_0_10,ap_10_20,ap_20_30,ap_30_40,ap_40_50,ap_50_70
15mm Besa,15mm Besa,british,15,,,,,,,,,,,1,1,1,1,1,
2 pdr,2 pdr,british,40,,,,,,,,,,,4,4,3,2,1,
3in Howitzer,3in How,british,76,,4,4,light,2,2,2,2,2,,,,,,,
6 pdr,6 pdr,british,57,,3,5,v. light,2,2,2,2,2,,7,7,6,5,4,
17 pdr,17 pdr,british,76,,3,4,light,3,3,3,3,3,3,11,11,10,9,8,7
75mmL40,75mmL40,british,75,,4,4,light,3,3,3,3,3,,6,6,5,4,3,
76mmL53,76mmL53,british,76,,4,4,light,3,3,3,3,3,,7,7,6,5,4,
77mmL50,77mmL50,british,77,,3,4,light,3,3,3,3,3,3,11,11,10,9,8,7
95mmL20,95mmL20,british,95,,5,3,medium,4,4,4,4,,,,,,,,
105mmL22,105mmL22,british,105,,5,3,medium,4,4,4,4,4,,,,,,,
25 pdr,25 pdr,british,87,,4,3,medium,3,3,3,3,3,,6,6,5,4,3,
37mmL53,37mmL53,british,37,,2,5,v. light,1,1,1,1,1,,4,4,3,2,1,
40mmL60,40mmL60,british,40,,,,,1,1,1,1,1,,3,3,2,2,1,
20mm Oerlikon,20mm,british,20,6,,,v. light,1,1,1,1,1,,2,2,1,1,1,
280mm Petard,Petard,british,280,,9,2,heavy,9,9,,,,,,,,,,
2 pdr (Littlejohn Adaptor),Littlejohn Adaptor,british,40,,,,,,,,,,,4,4,3,2,2,
Flamethrower*,F'thrower,british,,10,,,,D6,,,,,,,,,,,
Boys AT Rifle,AT Rifle,british,14,,,,,,,,,,,2,1,,,,
Large bomb,Large bomb,british,,,11,2,bomb,15,15,15,15,15,15,,,,,,
Medium bomb,Med bomb,british,,,7,3,bomb,9,9,9,9,9,9,,,,,,
AC 20mm,Aircraft 20mm,british,20,,,,Cannon,3,3,3,3,3,,4,4,3,3,3,
Small bomb,Small bomb,british,,,7,3,bomb,9,9,9,9,9,9,,,,,,
60 lbs Rocket,61 lbs Rocket,british,,,5,4,rocket,,,8,,,,,,,,,
