name,nation,year_range,vehicle_type,off_road_inches,road_inches,special_movement,armor_front,armor_side,armor_rear,armor_top,Schürzen_side,weapons,mount,ammo,special_rules,source_file,page_number
Vickers IV,british,1940-41,Light Tank,12,18,,O,O,O,,,MG,Turret,-,"rare,pre-war",Battlegroup-DataCards-British.pdf,1
Vickers VI A ,british,1940-41,Light Tank,12,18,,O,O,O,,,"MG, MG","Turret, Co-axial",-,,Battlegroup-DataCards-British.pdf,1
Vickers VI B,british,1940-41,Light Tank,12,18,,O,O,O,,,"MG, MG","Turret, Co-axial",-,,Battlegroup-DataCards-British.pdf,1
Vickers VI C,british,1940-41,Light Tank,12,18,,O,O,O,,,"15mm Besa, MG","Turret, Co-axial",20,Improved Armament,Battlegroup-DataCards-British.pdf,1
Matilda I,british,1940-41,Infantry Support Tank,3,4,,K,K,L,,,MG,Turret,,,Battlegroup-DataCards-British.pdf,1
Matilda II,british,1940-41,Infantry Support Tank,5,8,,J,K,L,,,"2 pdr, MG","Turret, Co-axial",9,Improved Infrantry Tank,Battlegroup-DataCards-British.pdf,1
Matilda II CS,british,1940-41,Close Support Tank,5,8,,J,K,L,,,"3 "" How, MG","Turret, Co-axial",7,Close support tank re-armed with howitzer,Battlegroup-DataCards-British.pdf,1
A9,british,1940-41,Medium Tank,8,12,Unrel,N,O,O,,,"2 pdr, MG, 2x MGs","Turret, Co-axial, Hull",10,Pre-war cruiser tank,Battlegroup-DataCards-British.pdf,1
A9 CS,british,1940-41,Medium Tank,8,12,Unrel,N,O,O,,,"3 "" How, MG, 2x MGs","Turret, Co-axial, Hull",9,Close support tank re-armed with howitzer,Battlegroup-DataCards-British.pdf,1
A10,british,1940-41,Medium Tank,5,8,Unrel,M,N,O,,,"2 pdr, MG,MG","Turret, Co-axial, Hull",10,Modernized cruiser Tank,Battlegroup-DataCards-British.pdf,1
A13,british,1940-41,Medium Tank,9,15, ,M,N,O,,,"2 pdr, MG","Turret, Co-axial",9,Modernized cruiser Tank,Battlegroup-DataCards-British.pdf,1
A13 MkII,british,1940-41,Medium Tank,9,15, ,L,M,O,,,"2 pdr, MG","Turret, Co-axial",9,Final version of cruser tank with improved armour,Battlegroup-DataCards-British.pdf,1
