equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
AME_M3_LEE,M3 Lee,tanks,54,tanks,48,6,88
AME_M3_GRANT,M3 Grant,tanks,36,tanks,32,4,88
AME_M4_SHERMAN,M4 Sherman,tanks,78,tanks,68,10,87
AME_M3_STUART,M3 Stuart,tanks,72,tanks,64,8,88
AME_M5_STUART,M5 Stuart,tanks,23,tanks,20,3,86
AME_M8_GREYHOUND,M8 Greyhound,armored_cars,54,armored_cars,48,6,88
AME_M2_HALFTRACK,M2 Halftrack,halftracks,198,halftracks,182,16,91
AME_M3_HALFTRACK,M3 Halftrack,halftracks,156,halftracks,144,12,92
AME_M3A1_SCOUT_CAR,M3A1 Scout Car,halftracks,87,halftracks,78,9,89
AME_GMC_CCKW_2.5_TON,GMC CCKW 2.5-ton,trucks,512,trucks,512,0,100
AME_DODGE_WC_51/52_3/4_TON,Dodge WC-51/52 3/4-ton,trucks,284,trucks,284,0,100
AME_GMC_6X6_5_TON,GMC 6x6 5-ton,trucks,90,trucks,90,0,100
AME_HARLEY_DAVIDSON_WLA,Harley-Davidson WLA,motorcycles,98,motorcycles,98,0,100
AME_INDIAN_741,Indian 741,motorcycles,26,motorcycles,26,0,100
