equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
AME_M4_SHERMAN,M4 Sherman,tanks,150,tanks,130,20,86
AME_M4A1_SHERMAN,M4A1 Sherman,tanks,100,tanks,85,15,85
AME_M3_LEE/GRANT,M3 Lee/Grant,tanks,70,tanks,60,10,85
AME_M5_STUART,M5 Stuart,tanks,40,tanks,30,10,75
AME_M3A1_STUART,M3A1 Stuart,tanks,30,tanks,15,15,50
AME_M8_GREYHOUND,M8 Greyhound,armored_cars,120,armored_cars,105,15,87
AME_M3_SCOUT_CAR,M3 Scout Car,armored_cars,75,armored_cars,60,15,80
AME_M3_HALFTRACK,M3 Halftrack,halftracks,320,halftracks,275,45,85
AME_M2_HALFTRACK,M2 Halftrack,halftracks,130,halftracks,105,25,80
AME_GMC_CCKW_352,GMC CCKW-352,trucks,6000,trucks,5100,900,85
AME_GMC_CCKW_353,GMC CCKW-353,trucks,2231,trucks,1900,331,85
AME_DODGE_WC_51,Dodge WC-51,trucks,5000,trucks,4250,750,85
AME_DODGE_WC_52,Dodge WC-52,trucks,2000,trucks,1700,300,85
AME_WILLYS_MB,Willys MB,trucks,3000,trucks,2550,450,85
AME_FORD_GPW,Ford GPW,trucks,1000,trucks,850,150,85
AME_DODGE_WC_54,Dodge WC-54,trucks,57,trucks,48,9,84
AME_DODGE_WC_62,Dodge WC-62,trucks,57,trucks,48,9,84
AME_FORD_GTB,Ford GTB,trucks,57,trucks,48,9,84
AME_STUDEBAKER_US6,Studebaker US6,trucks,57,trucks,48,9,84
AME_INTERNATIONAL_M_5_6_318,International M-5-6-318,trucks,57,trucks,48,9,84
AME_MACK_NR,Mack NR,trucks,57,trucks,48,9,84
AME_HARLEY_DAVIDSON_WLA,Harley-Davidson WLA,motorcycles,2500,motorcycles,2100,400,84
AME_INDIAN_741,Indian 741,motorcycles,600,motorcycles,500,100,83
