equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
BRI_MATILDA_II_INFANTRY_TANK,Matilda II Infantry Tank,tanks,48,tanks,40,8,83
BRI_CRUISER_MK_IV_(A13),Cruiser Mk IV (A13),tanks,65,tanks,58,7,89
BRI_CRUISER_MK_I_(A9),Cruiser Mk I (A9),tanks,25,tanks,21,4,84
BRI_CRUISER_MK_II_(A10),Cruiser Mk II (A10),tanks,20,tanks,17,3,85
BRI_LIGHT_TANK_MK_VI,Light Tank Mk VI,tanks,85,tanks,69,16,81
BRI_MORRIS_CS9_ARMOURED_CAR,Morris CS9 Armoured Car,armored_cars,84,armored_cars,78,6,92
BRI_ROLLS_ROYCE_ARMOURED_CAR,Rolls-Royce Armoured Car,armored_cars,59,armored_cars,53,6,89
BRI_MARMON_HERRINGTON_MK_I,Marmon-Herrington Mk I,armored_cars,29,armored_cars,26,3,89
BRI_BEDFORD_MW_15CWT,Bedford MW 15cwt,trucks,2450,trucks,2450,0,100
BRI_BEDFORD_OWL_3_TON,Bedford OWL 3-ton,trucks,1730,trucks,1730,0,100
BRI_BEDFORD_3_TON,Bedford 3-ton,trucks,200,trucks,200,0,100
BRI_MORRIS_C8_15CWT,Morris C8 15cwt,trucks,480,trucks,480,0,100
BRI_MORRIS_15CWT,Morris 15cwt,trucks,85,trucks,85,0,100
BRI_AEC_MATADOR_3_TON,AEC Matador 3-ton,trucks,200,trucks,200,0,100
BRI_BSA_M20_500CC,BSA M20 500cc,motorcycles,370,motorcycles,370,0,100
BRI_NORTON_16H_500CC,Norton 16H 500cc,motorcycles,400,motorcycles,400,0,100
BRI_BSA_M20_WITH_SIDECAR,BSA M20 with Sidecar,motorcycles,50,motorcycles,50,0,100
