equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
BRI_ARMOURED_CARRIER_WHEELED_INDIAN_PATTERN_(ACV_IP),Armoured Carrier Wheeled Indian Pattern (ACV-IP),armored_cars,24,armored_cars,23,1,95
BRI_MORRIS_CS9_ARMOURED_CAR,Morris CS9 Armoured Car,armored_cars,12,armored_cars,11,1,91
BRI_MARMON_HERRINGTON_ARMOURED_CAR_MK_II,Marmon-Herrington Armoured Car Mk II,armored_cars,12,armored_cars,11,1,91
BRI_BEDFORD_MW_15_CWT,Bedford MW 15-cwt,trucks,580,trucks,580,0,100
BRI_BEDFORD_QL_3_TON,Bedford QL 3-ton,trucks,450,trucks,450,0,100
BRI_FORD_WOT_2_3_TON,Ford WOT-2 3-ton,trucks,320,trucks,320,0,100
BRI_MORRIS_C8_15_CWT,Morris C8 15-cwt,trucks,280,trucks,280,0,100
BRI_AUSTIN_K2_2_TON,Austin K2 2-ton,trucks,220,trucks,220,0,100
BRI_NORTON_16H_490CC,Norton 16H 490cc,motorcycles,140,motorcycles,140,0,100
BRI_BSA_M20_496CC,BSA M20 496cc,motorcycles,80,motorcycles,80,0,100
BRI_MATCHLESS_G3L,Matchless G3L,motorcycles,20,motorcycles,20,0,100
