equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
BRI_CRUISER_MK_I_(A9),Cruiser Mk I (A9),tanks,8,tanks,6,2,75
BRI_CRUISER_MK_II_(A10),Cruiser Mk II (A10),tanks,12,tanks,8,4,66
BRI_CRUISER_MK_III_(A13),Cruiser Mk III (A13),tanks,18,tanks,14,4,77
BRI_CRUISER_MK_IV_(A13_MK_II),Cruiser Mk IV (A13 Mk II),tanks,10,tanks,7,3,70
BRI_LIGHT_TANK_MK_VI,Light Tank Mk VI,tanks,72,tanks,60,12,83
BRI_MARMON_HERRINGTON_MK_II,Marmon-Herrington Mk II,armored_cars,65,armored_cars,58,7,89
BRI_MORRIS_CS9,Morris CS9,armored_cars,22,armored_cars,18,4,81
BRI_HUMBER_MK_I,Humber Mk I,armored_cars,8,armored_cars,6,2,75
BRI_BEDFORD_OX/OY,Bedford OX/OY,trucks,825,trucks,825,0,100
BRI_BEDFORD_QL,Bedford QL,trucks,285,trucks,285,0,100
BRI_MORRIS_COMMERCIAL,Morris Commercial,trucks,520,trucks,520,0,100
BRI_FORD_F15,Ford F15,trucks,220,trucks,220,0,100
BRI_BSA_M20,BSA M20,motorcycles,285,motorcycles,285,0,100
BRI_NORTON_16H,Norton 16H,motorcycles,180,motorcycles,180,0,100
