equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
BRI_ACV_INDIAN_PATTERN_MK_I,ACV Indian Pattern Mk I,armored_cars,16,armored_cars,16,0,100
BRI_ACV_INDIAN_PATTERN_MK_II,ACV Indian Pattern Mk II,armored_cars,8,armored_cars,8,0,100
BRI_BEDFORD_MW_15_CWT,Bedford MW 15-cwt,trucks,780,trucks,780,0,100
BRI_BEDFORD_OY_3_TON,Bedford OY 3-ton,trucks,420,trucks,420,0,100
BRI_MORRIS_CS8_15_CWT,Morris CS8 15-cwt,trucks,380,trucks,380,0,100
BRI_FORD_CMP_15_CWT,Ford CMP 15-cwt,trucks,320,trucks,320,0,100
BRI_CHEVROLET_C15_15_CWT,Chevrolet C15 15-cwt,trucks,280,trucks,280,0,100
BRI_FORD_CMP_3_TON,Ford CMP 3-ton,trucks,220,trucks,220,0,100
BRI_AUSTIN_K2,Austin K2,trucks,120,trucks,120,0,100
BRI_FORDSON_WOT_2,Fordson WOT 2,trucks,60,trucks,60,0,100
BRI_BSA_M20,BSA M20,motorcycles,260,motorcycles,260,0,100
BRI_NORTON_16H,Norton 16H,motorcycles,90,motorcycles,90,0,100
BRI_TRIUMPH_3HW,Triumph 3HW,motorcycles,35,motorcycles,35,0,100
