equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
BRI_CRUSADER_MK_II,Crusader Mk II,tanks,25,tanks,22,3,88
BRI_M3_STUART,M3 Stuart,tanks,15,tanks,13,2,86
BRI_DAIMLER_ARMOURED_CAR,Daimler Armoured Car,armored_cars,24,armored_cars,22,2,91
BRI_MARMON_HERRINGTON_MK_III,Marmon-Herrington Mk III,armored_cars,24,armored_cars,21,3,87
BRI_FORD_3_TON,Ford 3-ton,trucks,400,trucks,400,0,100
BRI_BEDFORD_3_TON,Bedford 3-ton,trucks,350,trucks,350,0,100
BRI_CHEVROLET_15_CWT,Chevrolet 15-cwt,trucks,250,trucks,250,0,100
BRI_MORRIS_COMMERCIAL_15_CWT,Morris-Commercial 15-cwt,trucks,200,trucks,200,0,100
BRI_BSA_M20,BSA M20,motorcycles,100,motorcycles,100,0,100
BRI_NORTON_16H,Norton 16H,motorcycles,80,motorcycles,80,0,100
