equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
BRI_M3_GRANT,M3 Grant,tanks,52,tanks,46,6,88
BRI_M4_SHERMAN,M4 Sherman,tanks,18,tanks,16,2,88
BRI_CRUSADER_III,Crusader III,tanks,28,tanks,24,4,85
BRI_CRUSADER_II,Crusader II,tanks,14,tanks,12,2,85
BRI_M3_STUART_(HONEY),M3 Stuart (Honey),tanks,42,tanks,35,7,83
BRI_CRUSADER_I,Crusader I,tanks,11,tanks,9,2,81
BRI_HUMBER_ARMOURED_CAR_MK_III,Humber Armoured Car Mk III,armored_cars,46,armored_cars,41,5,89
BRI_MARMON_HERRINGTON_MK_III,Marmon-Herrington Mk III,armored_cars,40,armored_cars,36,4,90
BRI_DAIMLER_ARMOURED_CAR,Daimler Armoured Car,armored_cars,32,armored_cars,28,4,87
BRI_BEDFORD_QL_3_TON,Bedford QL 3-ton,trucks,812,trucks,812,0,100
BRI_MORRIS_C8_15_CWT,Morris C8 15-cwt,trucks,498,trucks,498,0,100
BRI_CMP_15_CWT,CMP 15-cwt,trucks,368,trucks,368,0,100
BRI_BEDFORD_MW_15_CWT,Bedford MW 15-cwt,trucks,272,trucks,272,0,100
BRI_AUSTIN_K2,Austin K2,trucks,145,trucks,145,0,100
BRI_NORTON_16H,Norton 16H,motorcycles,95,motorcycles,95,0,100
BRI_BSA_M20,BSA M20,motorcycles,81,motorcycles,81,0,100
