equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
FRE_SOMUA_S35,Somua S35,tanks,12,tanks,9,3,75
FRE_HOTCHKISS_H39,Hotchkiss H39,tanks,8,tanks,6,2,75
FRE_RENAULT_R35,Renault R35,tanks,4,tanks,3,1,75
FRE_PANHARD_178,Panhard 178,armored_cars,12,armored_cars,9,3,75
FRE_WHITE_LAFFLY_AMD_50,White-Laffly AMD 50,armored_cars,6,armored_cars,5,1,83
FRE_RENAULT_AGC/AGK/AGP,Renault AGC/AGK/AGP,trucks,95,trucks,62,33,65
FRE_LAFFLY_V15T,Laffly V15T,trucks,70,trucks,48,22,68
FRE_BERLIET_GDC,Berliet GDC,trucks,60,trucks,39,21,65
FRE_CAPTURED_ITALIAN_FIAT_626,Captured Italian FIAT 626,trucks,40,trucks,28,12,70
FRE_US_LEND_LEASE_GMC_CCKW,US Lend-Lease GMC CCKW,trucks,20,trucks,19,1,95
FRE_TERROT_RATT,Terrot RATT,motorcycles,15,motorcycles,10,5,66
FRE_GNOME_RHÔNE_AX2,Gnome-Rhône AX2,motorcycles,13,motorcycles,9,4,69
