equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
GER_PANZER_III_AUSF_F,Panzer III Ausf F,tanks,40,tanks,40,0,100
GER_PANZER_III_AUSF_G,Panzer III Ausf G,tanks,20,tanks,20,0,100
GER_PANZER_III_AUSF_H,Panzer III Ausf H,tanks,1,tanks,1,0,100
GER_PANZER_IV_AUSF_D,Panzer IV Ausf D,tanks,7,tanks,7,0,100
GER_PANZER_IV_AUSF_E,Panzer IV Ausf E,tanks,5,tanks,5,0,100
GER_PANZER_III_COMMAND,Panzer III Command,tanks,5,tanks,5,0,100
GER_PANZER_I_AUSF_B,Panzer I Ausf B,tanks,30,tanks,30,0,100
GER_PANZER_II_AUSF_A,Panzer II Ausf A,tanks,20,tanks,20,0,100
GER_PANZER_II_AUSF_C,Panzer II Ausf C,tanks,15,tanks,15,0,100
GER_PANZER_II_AUSF_F,Panzer II Ausf F,tanks,10,tanks,10,0,100
GER_PANZERBEFEHLSWAGEN_(KLEINE),Panzerbefehlswagen (kleine),tanks,2,tanks,2,0,100
GER_SDKFZ_222,SdKfz 222,armored_cars,18,armored_cars,18,0,100
GER_SDKFZ_231,SdKfz 231,armored_cars,12,armored_cars,12,0,100
GER_OPEL_BLITZ,Opel Blitz,trucks,973,trucks,973,0,100
GER_MERCEDES_BENZ_L3000A,Mercedes-Benz L3000A,trucks,21,trucks,21,0,100
GER_MERCEDES_BENZ_L1500A,Mercedes-Benz L1500A,trucks,21,trucks,21,0,100
GER_HENSCHEL_TYPE_33G1,Henschel Type 33G1,trucks,21,trucks,21,0,100
GER_BÜSSING_NAG_G31,Büssing-NAG G31,trucks,21,trucks,21,0,100
GER_BMW_R75,BMW R75,motorcycles,75,motorcycles,75,0,100
GER_ZÜNDAPP_KS750,Zündapp KS750,motorcycles,75,motorcycles,75,0,100
