equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
GER_PANZER_III_AUSF_F,Panzer III Ausf F,tanks,44,tanks,44,0,100
GER_PANZER_III_AUSF_G,Panzer III Ausf G,tanks,37,tanks,37,0,100
GER_PANZER_III_AUSF_H,Panzer III Ausf H,tanks,67,tanks,67,0,100
GER_PANZER_IV_AUSF_D,Panzer IV Ausf D,tanks,15,tanks,15,0,100
GER_PANZER_IV_AUSF_E,Panzer IV Ausf E,tanks,7,tanks,7,0,100
GER_PANZER_I_AUSF_B,Panzer I Ausf B,tanks,20,tanks,20,0,100
GER_PANZER_II_AUSF_A,Panzer II Ausf A,tanks,60,tanks,60,0,100
GER_PANZER_II_AUSF_C,Panzer II Ausf C,tanks,40,tanks,40,0,100
GER_PANZER_II_AUSF_F,Panzer II Ausf F,tanks,30,tanks,30,0,100
GER_SDKFZ_222,SdKfz 222,armored_cars,24,armored_cars,24,0,100
GER_SDKFZ_231_(8_RAD),SdKfz 231 (8-rad),armored_cars,18,armored_cars,18,0,100
GER_SDKFZ_251/1,SdKfz 251/1,halftracks,120,halftracks,120,0,100
GER_SDKFZ_251/2,SdKfz 251/2,halftracks,20,halftracks,20,0,100
GER_SDKFZ_251/3,SdKfz 251/3,halftracks,30,halftracks,30,0,100
GER_SDKFZ_250,SdKfz 250,halftracks,60,halftracks,60,0,100
GER_SDKFZ_10,SdKfz 10,halftracks,30,halftracks,30,0,100
GER_OPEL_BLITZ_3_TON,Opel Blitz 3-ton,trucks,1290,trucks,1290,0,100
GER_MERCEDES_BENZ_L3000A,Mercedes-Benz L3000A,trucks,18,trucks,18,0,100
GER_MERCEDES_BENZ_L1500A,Mercedes-Benz L1500A,trucks,18,trucks,18,0,100
GER_HENSCHEL_TYPE_33G1,Henschel Type 33G1,trucks,27,trucks,27,0,100
GER_BÜSSING_NAG_G31,Büssing-NAG G31,trucks,27,trucks,27,0,100
GER_BMW_R75,BMW R75,motorcycles,340,motorcycles,340,0,100
GER_ZÜNDAPP_KS750,Zündapp KS750,motorcycles,440,motorcycles,440,0,100
