equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
GER_PZ.KPFW.III_AUSF_H/J_(5CM_L/42),Pz.Kpfw.III Ausf H/J (5cm L/42),tanks,145,tanks,98,47,67
GER_PZ.KPFW.III_AUSF_L_(5CM_L/60),Pz.Kpfw.III Ausf L (5cm L/60),tanks,52,tanks,38,14,73
GER_PZ.KPFW.IV_AUSF_F1_(7.5CM_L/24),Pz.Kpfw.IV Ausf F1 (7.5cm L/24),tanks,38,tanks,25,13,65
GER_PZ.KPFW.IV_AUSF_F2/G_(7.5CM_L/43),Pz.Kpfw.IV Ausf F2/G (7.5cm L/43),tanks,50,tanks,42,8,84
GER_PZ.KPFW.II_AUSF_F,Pz.Kpfw.II Ausf F,tanks,35,tanks,22,13,62
GER_SDKFZ_222,SdKfz 222,armored_cars,48,armored_cars,38,10,79
GER_SDKFZ_232_(8_RAD),SdKfz 232 (8-rad),armored_cars,32,armored_cars,25,7,78
GER_SDKFZ_231_(6_RAD),SdKfz 231 (6-rad),armored_cars,15,armored_cars,11,4,73
GER_SDKFZ_251,SdKfz 251,halftracks,310,halftracks,255,55,82
GER_SDKFZ_250,SdKfz 250,halftracks,170,halftracks,138,32,81
GER_OPEL_BLITZ_3_TON,Opel Blitz 3-ton,trucks,3850,trucks,2900,950,75
GER_MERCEDES_BENZ_L3000,Mercedes-Benz L3000,trucks,1820,trucks,1380,440,75
GER_VARIOUS_LIGHT_TRUCKS,Various light trucks,trucks,1150,trucks,850,300,73
GER_CAPTURED_BRITISH_VEHICLES,Captured British vehicles,trucks,1380,trucks,980,400,71
GER_BMW_R75,BMW R75,motorcycles,720,motorcycles,580,140,80
GER_ZÜNDAPP_KS750,Zündapp KS750,motorcycles,480,motorcycles,385,95,80
