equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
GER_PZ.KPFW._III_AUSF._J/L_(50MM_L/60),Pz.Kpfw. III Ausf. J/L (50mm L/60),tanks,35,tanks,26,9,74
GER_PZ.KPFW._IV_AUSF._F2/G_(75MM_L/43),Pz.Kpfw. IV Ausf. F2/G (75mm L/43),tanks,20,tanks,16,4,80
GER_PZ.KPFW._II_AUSF._C/F,Pz.Kpfw. II Ausf. C/F,tanks,25,tanks,19,6,76
GER_PZ.BEF.WG._III_(COMMAND_TANK),Pz.Bef.Wg. III (Command Tank),tanks,5,tanks,4,1,80
GER_SD.KFZ._222_(20MM),Sd.Kfz. 222 (20mm),armored_cars,18,armored_cars,14,4,77
GER_SD.KFZ._221_(MG),Sd.Kfz. 221 (MG),armored_cars,10,armored_cars,7,3,70
GER_SD.KFZ._231/232_(HEAVY),Sd.Kfz. 231/232 (Heavy),armored_cars,8,armored_cars,6,2,75
GER_SD.KFZ._260/261_(RADIO),Sd.Kfz. 260/261 (Radio),armored_cars,6,armored_cars,5,1,83
GER_SD.KFZ._251_(HANOMAG),Sd.Kfz. 251 (Hanomag),halftracks,95,halftracks,72,23,75
GER_SD.KFZ._250_(LIGHT),Sd.Kfz. 250 (Light),halftracks,25,halftracks,19,6,76
GER_SD.KFZ._10_(1_TON),Sd.Kfz. 10 (1-ton),halftracks,40,halftracks,31,9,77
GER_SD.KFZ._11_(3_TON),Sd.Kfz. 11 (3-ton),halftracks,12,halftracks,9,3,75
GER_SD.KFZ._7_(8_TON),Sd.Kfz. 7 (8-ton),halftracks,8,halftracks,6,2,75
GER_OPEL_BLITZ_3_TON,Opel Blitz 3-ton,trucks,620,trucks,470,150,75
GER_MERCEDES_L3000,Mercedes L3000,trucks,340,trucks,260,80,76
GER_LIGHT_TRUCKS_(KFZ_2/15/17),Light trucks (Kfz 2/15/17),trucks,280,trucks,215,65,76
GER_MEDIUM_TRUCKS_(2_TON),Medium trucks (2-ton),trucks,150,trucks,115,35,76
GER_HEAVY_TRUCKS_(4.5_TON),Heavy trucks (4.5-ton),trucks,60,trucks,40,20,66
GER_BMW_R75_(WITH_SIDECAR),BMW R75 (with sidecar),motorcycles,140,motorcycles,106,34,75
GER_ZÜNDAPP_KS750_(WITH_SIDECAR),Zündapp KS750 (with sidecar),motorcycles,60,motorcycles,46,14,76
GER_DKW_NZ350_(SOLO),DKW NZ350 (solo),motorcycles,30,motorcycles,23,7,76
