equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
GER_PZ.KPFW._IV_AUSF._F2/G,Pz.Kpfw. IV Ausf. F2/G,tanks,85,tanks,75,10,88
GER_PZ.KPFW._III_AUSF._J/L,Pz.Kpfw. III Ausf. J/L,tanks,60,tanks,50,10,83
GER_PZ.KPFW._II_AUSF._C/F,Pz.Kpfw. II Ausf. C/F,tanks,45,tanks,38,7,84
GER_PZ.KPFW._I_AUSF._B,Pz.Kpfw. I Ausf. B,tanks,30,tanks,22,8,73
GER_SDKFZ_222,SdKfz 222,armored_cars,75,armored_cars,68,7,90
GER_SDKFZ_231_(8_RAD),SdKfz 231 (8-rad),armored_cars,65,armored_cars,58,7,89
GER_SDKFZ_221,SdKfz 221,armored_cars,45,armored_cars,38,7,84
GER_SDKFZ_251,SdKfz 251,halftracks,220,halftracks,195,25,88
GER_SDKFZ_250,SdKfz 250,halftracks,95,halftracks,82,13,86
GER_SDKFZ_10,SdKfz 10,halftracks,65,halftracks,58,7,89
GER_OPEL_BLITZ_3_TON,Opel Blitz 3-ton,trucks,1200,trucks,1200,0,100
GER_MERCEDES_BENZ_L3000,Mercedes-Benz L3000,trucks,650,trucks,650,0,100
GER_KRUPP_L2H143,Krupp L2H143,trucks,400,trucks,400,0,100
GER_CAPTURED_BRITISH_VEHICLES,Captured British vehicles,trucks,200,trucks,200,0,100
GER_BMW_R75,BMW R75,motorcycles,245,motorcycles,245,0,100
GER_ZÜNDAPP_KS750,Zündapp KS750,motorcycles,175,motorcycles,175,0,100
