equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_L3/35,L3/35,tanks,38,tanks,32,6,84
ITA_AB_40,AB 40,armored_cars,6,armored_cars,5,1,83
ITA_LANCIA_1ZM,Lancia 1ZM,armored_cars,3,armored_cars,3,0,100
ITA_FIAT_626,Fiat 626,trucks,155,trucks,155,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,105,trucks,105,0,100
ITA_FIAT_634,Fiat 634,trucks,72,trucks,72,0,100
ITA_ALFA_ROMEO_800RE,Alfa Romeo 800RE,trucks,22,trucks,22,0,100
ITA_SPA_DOVUNQUE_35,SPA Dovunque 35,trucks,14,trucks,14,0,100
ITA_MOTO_GUZZI_GT_500,Moto Guzzi GT 500,motorcycles,24,motorcycles,24,0,100
ITA_BENELLI_M36,Benelli M36,motorcycles,10,motorcycles,10,0,100
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,7,motorcycles,7,0,100
