equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_AB_40,AB 40,armored_cars,4,armored_cars,3,1,75
ITA_AB_41,AB 41,armored_cars,4,armored_cars,3,1,75
ITA_FIAT_626,Fiat 626,trucks,180,trucks,180,0,100
ITA_FIAT_634,Fiat 634,trucks,80,trucks,80,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,70,trucks,70,0,100
ITA_FIAT_665,Fiat 665,trucks,30,trucks,30,0,100
ITA_VARIOUS_LIGHT_TRUCKS,Various Light Trucks,trucks,20,trucks,20,0,100
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,45,motorcycles,45,0,100
ITA_MOTO_GUZZI_TRIALCE,Moto Guzzi Trialce,motorcycles,30,motorcycles,30,0,100
ITA_BENELLI_M36,Benelli M36,motorcycles,20,motorcycles,20,0,100
