equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
medium_armored_cars,medium_armored_cars,unknown,12,armored_cars,12,0,100
notes,notes,unknown,AB 40 and AB 41 armored cars for reconnaissance duties,armored_cars,AB 40 and AB 41 armored cars for reconnaissance duties,0,100
field_artillery,field_artillery,unknown,24,artillery,24,0,100
anti_aircraft_guns,anti_aircraft_guns,unknown,12,artillery,12,0,100
mortars,mortars,unknown,12,artillery,12,0,100
notes,notes,unknown,"Artillery composition: 24x 100/17 howitzers from 1º Reggimento artiglieria celere (replaced destroyed 55º Regiment), 12x 20mm AA guns, 12x 81mm mortars. Anti-tank guns distributed at regimental level (36x 47/32 AT guns not counted in artillery total).",artillery,"Artillery composition: 24x 100/17 howitzers from 1º Reggimento artiglieria celere (replaced destroyed 55º Regiment), 12x 20mm AA guns, 12x 81mm mortars. Anti-tank guns distributed at regimental level (36x 47/32 AT guns not counted in artillery total).",0,100
trucks,trucks,unknown,842,ground_vehicles,842,0,100
motorcycles,motorcycles,unknown,98,ground_vehicles,98,0,100
prime_movers,prime_movers,unknown,62,ground_vehicles,62,0,100
trailers,trailers,unknown,700,ground_vehicles,700,0,100
staff_cars,staff_cars,unknown,145,ground_vehicles,145,0,100
notes,notes,unknown,"Transport mix of Italian trucks (Fiat 626, SPA 38R, Lancia 3Ro). Desert conditions causing significant maintenance burden.",ground_vehicles,"Transport mix of Italian trucks (Fiat 626, SPA 38R, Lancia 3Ro). Desert conditions causing significant maintenance burden.",0,100
notes,notes,unknown,No organic aircraft. Air support provided by Regia Aeronautica units.,aircraft,No organic aircraft. Air support provided by Regia Aeronautica units.,0,100
