equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_AUTOBLINDA_AB_40,Autoblinda AB 40,armored_cars,12,armored_cars,11,1,91
ITA_AUTOBLINDA_AB_41,Autoblinda AB 41,armored_cars,6,armored_cars,6,0,100
ITA_FIAT_634N,Fiat 634N,trucks,280,trucks,280,0,100
ITA_FIAT_626,Fiat 626,trucks,220,trucks,220,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,180,trucks,180,0,100
ITA_ALFA_ROMEO_430RE,Alfa Romeo 430RE,trucks,90,trucks,90,0,100
ITA_SPA_38R,SPA 38R,trucks,80,trucks,80,0,100
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,180,motorcycles,180,0,100
ITA_BENELLI_M36,Benelli M36,motorcycles,90,motorcycles,90,0,100
ITA_GILERA_LTE,Gilera LTE,motorcycles,50,motorcycles,50,0,100
