equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_AB_40,AB 40,armored_cars,8,armored_cars,6,2,75
ITA_AB_41,AB 41,armored_cars,10,armored_cars,8,2,80
ITA_FIAT_626_NLM,FIAT 626 NLM,trucks,980,trucks,980,0,100
ITA_FIAT_666_NM,FIAT 666 NM,trucks,340,trucks,340,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,680,trucks,680,0,100
ITA_OM_TITANO,OM Titano,trucks,120,trucks,120,0,100
ITA_SPA_DOVUNQUE_35,SPA Dovunque 35,trucks,60,trucks,60,0,100
ITA_MOTO_GUZZI_GT_500,Moto Guzzi GT 500,motorcycles,65,motorcycles,65,0,100
ITA_BENELLI_M36,Benelli M36,motorcycles,35,motorcycles,35,0,100
ITA_MOTO_GUZZI_TRIALCE,Moto Guzzi TriAlce,motorcycles,15,motorcycles,15,0,100
