equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_AUTOBLINDA_AB_40,Autoblinda AB 40,armored_cars,8,armored_cars,7,1,87
ITA_AUTOBLINDA_AB_41,Autoblinda AB 41,armored_cars,4,armored_cars,4,0,100
ITA_FIAT_626_NM,Fiat 626 NM,trucks,340,trucks,298,42,87
ITA_FIAT_665_NM,Fiat 665 NM,trucks,185,trucks,162,23,87
ITA_LANCIA_3RO,Lancia 3Ro,trucks,220,trucks,195,25,88
ITA_FIAT_SPA_38R,Fiat-SPA 38R,trucks,95,trucks,84,11,88
ITA_VARIOUS_LIGHT_TRUCKS,Various light trucks,trucks,55,trucks,48,7,87
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,62,motorcycles,58,4,93
ITA_BIANCHI_M1_500,Bianchi M1 500,motorcycles,48,motorcycles,44,4,91
ITA_GILERA_500_LTE,Gilera 500 LTE,motorcycles,35,motorcycles,32,3,91
