equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_AUTOBLINDA_AB_40,Autoblinda AB 40,armored_cars,12,armored_cars,11,1,91
ITA_AUTOBLINDA_AB_41,Autoblinda AB 41,armored_cars,12,armored_cars,10,2,83
ITA_FIAT_634N,Fiat 634N,trucks,420,trucks,420,0,100
ITA_FIAT_666NM,Fiat 666NM,trucks,285,trucks,285,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,220,trucks,220,0,100
ITA_FIAT_SPA_AS.37,Fiat-SPA AS.37,trucks,180,trucks,180,0,100
ITA_FIAT_626,Fiat 626,trucks,95,trucks,95,0,100
ITA_LANCIA_RO,Lancia Ro,trucks,45,trucks,45,0,100
ITA_BIANCHI_SUPERMIL_500,Bianchi Supermil 500,motorcycles,245,motorcycles,245,0,100
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,128,motorcycles,128,0,100
ITA_GILERA_500_LTE,Gilera 500 LTE,motorcycles,55,motorcycles,55,0,100
