equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_M13/40,M13/40,tanks,84,tanks,79,5,94
ITA_M14/41,M14/41,tanks,62,tanks,60,2,96
ITA_L6/40,L6/40,tanks,43,tanks,37,6,86
ITA_AB41,AB41,armored_cars,22,armored_cars,20,2,90
ITA_FIAT_634N,Fiat 634N,trucks,254,trucks,254,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,210,trucks,210,0,100
ITA_FIAT_626,Fiat 626,trucks,176,trucks,176,0,100
ITA_AUTOCARETTE_(LIGHT_TRUCKS),Autocarette (Light Trucks),trucks,58,trucks,58,0,100
ITA_SPECIALIZED_TRUCKS,Specialized Trucks,trucks,50,trucks,50,0,100
ITA_GUZZI_ALCE_500,Guzzi Alce 500,motorcycles,278,motorcycles,278,0,100
ITA_BIANCHI_M35,Bianchi M35,motorcycles,168,motorcycles,168,0,100
ITA_GUZZI_TRIALCE,Guzzi Trialce,motorcycles,66,motorcycles,66,0,100
