equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_M13/40,M13/40,tanks,84,tanks,70,14,83
ITA_M14/41,M14/41,tanks,28,tanks,22,6,78
ITA_L6/40,L6/40,tanks,32,tanks,22,10,68
ITA_L3/35,L3/35,tanks,8,tanks,4,4,50
ITA_AB_40/41,AB 40/41,armored_cars,30,armored_cars,25,5,83
ITA_AUTOBLINDA_43,Autoblinda 43,armored_cars,14,armored_cars,11,3,78
ITA_FIAT_626,Fiat 626,trucks,495,trucks,400,95,80
ITA_LANCIA_3RO,Lancia 3Ro,trucks,400,trucks,320,80,80
ITA_SPA_DOVUNQUE_35,SPA Dovunque 35,trucks,290,trucks,225,65,77
ITA_FIAT_508,Fiat 508,trucks,225,trucks,185,40,82
ITA_ASSORTED_LIGHT_TRUCKS,Assorted Light Trucks,trucks,210,trucks,155,55,73
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,150,motorcycles,115,35,76
ITA_BENELLI_M36,Benelli M36,motorcycles,90,motorcycles,65,25,72
ITA_BIANCHI_MOTORCYCLE,Bianchi Motorcycle,motorcycles,55,motorcycles,40,15,72
