equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_M13/40,M13/40,tanks,32,tanks,28,4,87
ITA_M14/41,M14/41,tanks,65,tanks,56,9,86
ITA_AB_40/41,AB 40/41,armored_cars,12,armored_cars,10,2,83
ITA_L6/40,L6/40,armored_cars,12,armored_cars,11,1,91
ITA_SPA_DOVUNQUE_35,SPA Dovunque 35,trucks,420,trucks,420,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,310,trucks,310,0,100
ITA_FIAT_626,Fiat 626,trucks,180,trucks,180,0,100
ITA_FUEL_TANKERS,Fuel tankers,trucks,70,trucks,70,0,100
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,95,motorcycles,95,0,100
ITA_BIANCHI_SUPERMIL,Bianchi Supermil,motorcycles,70,motorcycles,70,0,100
