equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
AME_M8_GREYHOUND_ARMORED_CAR,M8 Greyhound Armored Car,armored_cars,45,armored_cars,43,2,95
AME_M3A1_SCOUT_CAR,M3A1 Scout Car,armored_cars,22,armored_cars,21,1,95
AME_M3_HALFTRACK,M3 Halftrack,halftracks,98,halftracks,94,4,95
AME_M2_HALFTRACK,M2 Halftrack,halftracks,44,halftracks,42,2,95
AME_2.5_TON_6X6_CARGO_TRUCK_(GMC_CCKW),2.5-ton 6x6 Cargo Truck (GMC CCKW),trucks,876,trucks,876,0,100
AME_1.5_TON_4X4_CARGO_TRUCK_(DODGE_WC62/63),1.5-ton 4x4 Cargo Truck (Dodge WC62/63),trucks,523,trucks,523,0,100
AME_0.75_TON_4X4_WEAPONS_CARRIER_(DODGE_WC51/52),0.75-ton 4x4 Weapons Carrier (Dodge WC51/52),trucks,298,trucks,298,0,100
AME_0.25_TON_4X4_JEEP_(WILLYS_MB),0.25-ton 4x4 Jeep (Willys MB),trucks,145,trucks,145,0,100
AME_HARLEY_DAVIDSON_WLA,Harley-Davidson WLA,motorcycles,64,motorcycles,64,0,100
AME_INDIAN_741,Indian 741,motorcycles,25,motorcycles,25,0,100
AME_M2A1_105MM_HOWITZER,M2A1 105mm Howitzer,field_artillery,36,field_artillery,36,0,100
AME_M1_155MM_HOWITZER,M1 155mm Howitzer,field_artillery,12,field_artillery,12,0,100
AME_M1_PACK_75MM_HOWITZER,M1 Pack 75mm Howitzer,field_artillery,6,field_artillery,6,0,100
AME_M3_37MM_ANTI_TANK_GUN,M3 37mm Anti-Tank Gun,anti_tank,30,anti_tank,30,0,100
AME_M1_40MM_BOFORS,M1 40mm Bofors,anti_aircraft,12,anti_aircraft,12,0,100
AME_M2_.50_CAL_(AA_MOUNT),M2 .50 cal (AA mount),anti_aircraft,6,anti_aircraft,6,0,100
