equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
AME_M8_GREYHOUND,M8 Greyhound,armored_cars,52,armored_cars,52,0,100
AME_GMC_CCKW_2.5_TON,GMC CCKW 2.5-ton,trucks,785,trucks,785,0,100
AME_DODGE_WC_SERIES,Dodge WC series,trucks,620,trucks,620,0,100
AME_CHEVROLET_G506,Chevrolet G506,trucks,285,trucks,285,0,100
AME_WILLYS_MB_JEEP,Willys MB Jeep,trucks,155,trucks,155,0,100
AME_HARLEY_DAVIDSON_WLA,Harley-Davidson WLA,motorcycles,96,motorcycles,96,0,100
AME_M2A1_105MM_HOWITZER,M2A1 105mm Howitzer,field_artillery,36,field_artillery,36,0,100
AME_M1918_155MM_HOWITZER,M1918 155mm Howitzer,field_artillery,12,field_artillery,12,0,100
AME_M3_37MM_AT_GUN,M3 37mm AT Gun,anti_tank,57,anti_tank,57,0,100
AME_M1_40MM_BOFORS,M1 40mm Bofors,anti_aircraft,16,anti_aircraft,16,0,100
