equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
AME_M4_SHERMAN,M4 Sherman,tanks,92,tanks,80,12,86
AME_M4A1_SHERMAN,M4A1 Sherman,tanks,76,tanks,65,11,85
AME_M3_STUART_(LATE_PRODUCTION),M3 Stuart (late production),tanks,54,tanks,42,12,77
AME_M5_STUART,M5 Stuart,tanks,10,tanks,8,2,80
AME_M8_GREYHOUND,M8 Greyhound,armored_cars,32,armored_cars,28,4,87
AME_M20_SCOUT_CAR,M20 Scout Car,armored_cars,16,armored_cars,14,2,87
AME_M3A1_HALFTRACK_(UNARMED),M3A1 Halftrack (unarmed),halftracks,380,halftracks,340,40,89
AME_M21_MORTAR_CARRIER,M21 Mortar Carrier,halftracks,54,halftracks,50,4,92
AME_M3_GUN_MOTOR_CARRIAGE,M3 Gun Motor Carriage,halftracks,36,halftracks,32,4,88
AME_M3_AMBULANCE_HALFTRACK,M3 Ambulance Halftrack,halftracks,45,halftracks,42,3,93
AME_M2/M9_HALFTRACK_(VARIOUS),M2/M9 Halftrack (various),halftracks,27,halftracks,26,1,96
AME_2.5_TON_6X6_CARGO,2.5-ton 6x6 Cargo,trucks,1450,trucks,1450,0,100
AME_¾_TON_WEAPONS_CARRIER,¾-ton Weapons Carrier,trucks,680,trucks,680,0,100
AME_¼_TON_JEEP,¼-ton Jeep,trucks,420,trucks,420,0,100
AME_KITCHEN_TRUCK_(2.5_TON),Kitchen Truck (2.5-ton),trucks,85,trucks,85,0,100
AME_WRECKER/RECOVERY,Wrecker/Recovery,trucks,45,trucks,45,0,100
AME_M7_PRIEST_105MM_SPG,M7 Priest 105mm SPG,field_artillery,54,field_artillery,54,0,100
AME_M2A1_105MM_HOWITZER_(TOWED),M2A1 105mm Howitzer (towed),field_artillery,12,field_artillery,12,0,100
AME_M1_155MM_HOWITZER_(TOWED),M1 155mm Howitzer (towed),field_artillery,6,field_artillery,6,0,100
AME_57MM_M1_ANTI_TANK_GUN,57mm M1 Anti-Tank Gun,anti_tank,54,anti_tank,54,0,100
"AME_2.36""_M1_BAZOOKA","2.36"" M1 Bazooka",anti_tank,420,anti_tank,420,0,100
AME_75MM_GUN_(HALFTRACK_MOUNTED),75mm Gun (halftrack mounted),anti_tank,27,anti_tank,27,0,100
AME_M51_MULTIPLE_GUN_MOTOR_CARRIAGE,M51 Multiple Gun Motor Carriage,anti_aircraft,8,anti_aircraft,8,0,100
AME_.50_CAL_M2HB_(FLEXIBLE),.50 cal M2HB (flexible),anti_aircraft,542,anti_aircraft,542,0,100
