equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
AME_M4_SHERMAN,M4 Sherman,tanks,142,tanks,138,4,97
AME_M4A1_SHERMAN,M4A1 Sherman,tanks,50,tanks,48,2,96
AME_M5_STUART,M5 Stuart,tanks,82,tanks,79,3,96
AME_M3_STUART,M3 Stuart,tanks,12,tanks,11,1,91
AME_M8_GREYHOUND,M8 Greyhound,armored_cars,60,armored_cars,58,2,96
AME_M2_HALFTRACK,M2 Halftrack,halftracks,212,halftracks,205,7,96
AME_M3_HALFTRACK,M3 Halftrack,halftracks,168,halftracks,163,5,97
AME_M3A1_SCOUT_CAR,M3A1 Scout Car,halftracks,88,halftracks,85,3,96
AME_GMC_CCKW_2.5_TON,GMC CCKW 2.5-ton,trucks,540,trucks,540,0,100
AME_DODGE_WC_51/52_3/4_TON,Dodge WC-51/52 3/4-ton,trucks,290,trucks,290,0,100
AME_GMC_6X6_5_TON,GMC 6x6 5-ton,trucks,90,trucks,90,0,100
AME_HARLEY_DAVIDSON_WLA,Harley-Davidson WLA,motorcycles,96,motorcycles,96,0,100
AME_INDIAN_741,Indian 741,motorcycles,26,motorcycles,26,0,100
AME_M7_PRIEST_105MM_SPG,M7 Priest 105mm SPG,field_artillery,54,field_artillery,54,0,100
AME_M3_37MM_ANTI_TANK_GUN,M3 37mm Anti-Tank Gun,anti_tank,36,anti_tank,36,0,100
AME_M5_3_INCH_GUN,M5 3-inch Gun,anti_tank,44,anti_tank,44,0,100
AME_M1_40MM_BOFORS,M1 40mm Bofors,anti_aircraft,20,anti_aircraft,20,0,100
AME_M45_QUADMOUNT_.50_CAL,M45 Quadmount .50 cal,anti_aircraft,32,anti_aircraft,32,0,100
