equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
AME_M8_GREYHOUND,M8 Greyhound,armored_cars,38,armored_cars,35,3,92
AME_M3_SCOUT_CAR,M3 Scout Car,armored_cars,20,armored_cars,18,2,90
AME_M3_HALFTRACK,M3 Halftrack,halftracks,125,halftracks,118,7,94
AME_M2_HALFTRACK,M2 Halftrack,halftracks,30,halftracks,28,2,93
AME_GMC_CCKW_2.5_TON,GMC CCKW 2.5-ton,trucks,980,trucks,980,0,100
AME_DODGE_WC_SERIES_3/4_TON,Dodge WC Series 3/4-ton,trucks,580,trucks,580,0,100
AME_GMC_6X6_CARGO,GMC 6x6 Cargo,trucks,160,trucks,160,0,100
AME_HARLEY_DAVIDSON_WLA,Harley-Davidson WLA,motorcycles,72,motorcycles,72,0,100
AME_INDIAN_741B,Indian 741B,motorcycles,25,motorcycles,25,0,100
AME_M2A1_105MM_HOWITZER,M2A1 105mm Howitzer,field_artillery,36,field_artillery,36,0,100
AME_M5_3_INCH_AT_GUN,M5 3-inch AT Gun,anti_tank,8,anti_tank,8,0,100
AME_M1_57MM_AT_GUN,M1 57mm AT Gun,anti_tank,4,anti_tank,4,0,100
AME_M1_155MM_HOWITZER,M1 155mm Howitzer,anti_aircraft,6,anti_aircraft,6,0,100
