equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
AME_M4_SHERMAN,M4 Sherman,tanks,92,tanks,80,12,86
AME_M4A1_SHERMAN,M4A1 Sherman,tanks,76,tanks,65,11,85
AME_M3_STUART_(LATE_PRODUCTION),M3 Stuart (late production),tanks,54,tanks,42,12,77
AME_M5_STUART,M5 Stuart,tanks,10,tanks,8,2,80
AME_M8_GREYHOUND,M8 Greyhound,armored_cars,134,armored_cars,118,16,88
AME_M20_SCOUT_CAR,M20 Scout Car,armored_cars,37,armored_cars,33,4,89
AME_M3_SCOUT_CAR,M3 Scout Car,armored_cars,30,armored_cars,26,4,86
AME_M3A1_HALFTRACK_(UNARMED),M3A1 Halftrack (unarmed),halftracks,380,halftracks,340,40,89
AME_M3_HALFTRACK,M3 Halftrack,halftracks,263,halftracks,250,13,95
AME_M2_HALFTRACK,M2 Halftrack,halftracks,91,halftracks,86,5,94
AME_M21_MORTAR_CARRIER,M21 Mortar Carrier,halftracks,54,halftracks,50,4,92
AME_M3_GUN_MOTOR_CARRIAGE,M3 Gun Motor Carriage,halftracks,36,halftracks,32,4,88
AME_M3_AMBULANCE_HALFTRACK,M3 Ambulance Halftrack,halftracks,45,halftracks,42,3,93
AME_M2/M9_HALFTRACK_(VARIOUS),M2/M9 Halftrack (various),halftracks,27,halftracks,26,1,96
AME_2.5_TON_6X6_CARGO,2.5-ton 6x6 Cargo,trucks,4450,trucks,4450,0,100
AME_¾_TON_WEAPONS_CARRIER,¾-ton Weapons Carrier,trucks,2232,trucks,2232,0,100
AME_¼_TON_JEEP,¼-ton Jeep,trucks,977,trucks,977,0,100
AME_1.5_TON_CARGO,1.5-ton Cargo,trucks,538,trucks,538,0,100
AME_KITCHEN_TRUCK_(2.5_TON),Kitchen Truck (2.5-ton),trucks,223,trucks,223,0,100
AME_WRECKER/RECOVERY,Wrecker/Recovery,trucks,135,trucks,135,0,100
AME_VARIOUS_CARGO_TRUCKS,Various cargo trucks,trucks,160,trucks,160,0,100
AME_HARLEY_DAVIDSON_WLA,Harley-Davidson WLA,motorcycles,188,motorcycles,188,0,100
AME_INDIAN_741,Indian 741,motorcycles,41,motorcycles,41,0,100
AME_M7_PRIEST_105MM_SPG,M7 Priest 105mm SPG,field_artillery,54,field_artillery,54,0,100
AME_M2A1_105MM_HOWITZER_(TOWED),M2A1 105mm Howitzer (towed),field_artillery,108,field_artillery,108,0,100
AME_M1_155MM_HOWITZER_(TOWED),M1 155mm Howitzer (towed),field_artillery,30,field_artillery,30,0,100
AME_M2_75MM_PACK_HOWITZER,M2 75mm Pack Howitzer,field_artillery,6,field_artillery,6,0,100
AME_M1_PACK_75MM_HOWITZER,M1 Pack 75mm Howitzer,field_artillery,12,field_artillery,12,0,100
AME_CORPS_ARTILLERY_(ATTACHED_BATTALIONS),Corps artillery (attached battalions),field_artillery,6,field_artillery,6,0,100
AME_57MM_M1_ANTI_TANK_GUN,57mm M1 Anti-Tank Gun,anti_tank,78,anti_tank,78,0,100
AME_M3_37MM_ANTI_TANK_GUN,M3 37mm Anti-Tank Gun,anti_tank,87,anti_tank,87,0,100
AME_M5_3_INCH_AT_GUN,M5 3-inch AT Gun,anti_tank,8,anti_tank,8,0,100
"AME_2.36""_M1_BAZOOKA","2.36"" M1 Bazooka",anti_tank,978,anti_tank,978,0,100
AME_75MM_GUN_(HALFTRACK_MOUNTED),75mm Gun (halftrack mounted),anti_tank,27,anti_tank,27,0,100
AME_M1_40MM_BOFORS,M1 40mm Bofors,anti_aircraft,12,anti_aircraft,12,0,100
AME_M51_MULTIPLE_GUN_MOTOR_CARRIAGE,M51 Multiple Gun Motor Carriage,anti_aircraft,8,anti_aircraft,8,0,100
AME_M2_.50_CAL_(AA_MOUNT),M2 .50 cal (AA mount),anti_aircraft,32,anti_aircraft,32,0,100
