equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
BRI_SOUTH_AFRICAN_ARMOURED_CAR_(MARMON_HERRINGTON_MK_II),South African Armoured Car (Marmon-Herrington Mk II),armored_cars,48,armored_cars,42,6,87
BRI_3_TON_LORRY_(VARIOUS_MODELS),3-ton lorry (various models),trucks,1850,trucks,1850,0,100
BRI_15_CWT_TRUCK,15-cwt truck,trucks,650,trucks,650,0,100
BRI_WATER_TANKERS,Water tankers,trucks,180,trucks,180,0,100
BRI_FUEL_TANKERS,Fuel tankers,trucks,120,trucks,120,0,100
BRI_NORTON_16H,Norton 16H,motorcycles,150,motorcycles,150,0,100
BRI_BSA_M20,BSA M20,motorcycles,70,motorcycles,70,0,100
BRI_ORDNANCE_QF_25_POUNDER,Ordnance QF 25-pounder,field_artillery,48,field_artillery,48,0,100
BRI_ORDNANCE_QF_18_POUNDER,Ordnance QF 18-pounder,field_artillery,24,field_artillery,24,0,100
BRI_ORDNANCE_QF_2_POUNDER,Ordnance QF 2-pounder,anti_tank,36,anti_tank,36,0,100
BRI_BOFORS_40MM,Bofors 40mm,anti_aircraft,12,anti_aircraft,12,0,100
