equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
BRI_SOUTH_AFRICAN_ARMOURED_CAR_(MARMON_HERRINGTON_MK_II),South African Armoured Car (Marmon-Herrington Mk II),armored_cars,42,armored_cars,38,4,90
BRI_3_TON_LORRY_(VARIOUS_MODELS),3-ton lorry (various models),trucks,1820,trucks,1820,0,100
BRI_15_CWT_TRUCK,15-cwt truck,trucks,640,trucks,640,0,100
BRI_WATER_TANKERS,Water tankers,trucks,170,trucks,170,0,100
BRI_FUEL_TANKERS,Fuel tankers,trucks,120,trucks,120,0,100
BRI_NORTON_16H,Norton 16H,motorcycles,145,motorcycles,145,0,100
BRI_BSA_M20,BSA M20,motorcycles,65,motorcycles,65,0,100
BRI_ORDNANCE_QF_18_POUNDER,Ordnance QF 18-pounder,field_artillery,48,field_artillery,48,0,100
BRI_ORDNANCE_QF_4.5_INCH_HOWITZER,Ordnance QF 4.5-inch Howitzer,field_artillery,24,field_artillery,24,0,100
BRI_ORDNANCE_QF_2_POUNDER,Ordnance QF 2-pounder,anti_tank,36,anti_tank,36,0,100
BRI_BOFORS_40MM,Bofors 40mm,anti_aircraft,12,anti_aircraft,12,0,100
