equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
BRI_MARMON_HERRINGTON_MK_II_ARMOURED_CAR,Marmon-Herrington Mk II Armoured Car,armored_cars,38,armored_cars,36,2,94
BRI_UNIVERSAL_CARRIER_MK_I/II,Universal Carrier Mk I/II,armored_cars,12,armored_cars,12,0,100
BRI_FORD/CHEVROLET_CMP_3_TON,Ford/Chevrolet CMP 3-ton,trucks,1220,trucks,1220,0,100
BRI_BEDFORD_MW_15_CWT,Bedford MW 15-cwt,trucks,690,trucks,690,0,100
BRI_MORRIS_C8_QUAD_ARTILLERY_TRACTOR,Morris C8 Quad Artillery Tractor,trucks,430,trucks,430,0,100
BRI_AEC_MATADOR_ARTILLERY_TRACTOR,AEC Matador Artillery Tractor,trucks,160,trucks,160,0,100
BRI_BSA_M20,BSA M20,motorcycles,180,motorcycles,180,0,100
BRI_NORTON_16H,Norton 16H,motorcycles,120,motorcycles,120,0,100
BRI_ORDNANCE_QF_25_POUNDER,Ordnance QF 25-pounder,field_artillery,72,field_artillery,72,0,100
BRI_ORDNANCE_QF_2_POUNDER,Ordnance QF 2-pounder,anti_tank,48,anti_tank,48,0,100
BRI_BOFORS_40MM,Bofors 40mm,anti_aircraft,36,anti_aircraft,36,0,100
