equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
BRI_MARMON_HERRINGTON_MK_II,Marmon-Herrington Mk II,armored_cars,16,armored_cars,14,2,87
BRI_DAIMLER_ARMOURED_CAR,Daimler Armoured Car,armored_cars,8,armored_cars,7,1,87
BRI_FORD/CHEVROLET_15CWT_TRUCK,Ford/Chevrolet 15cwt Truck,trucks,540,trucks,540,0,100
BRI_FORD/CHEVROLET_30CWT_TRUCK,Ford/Chevrolet 30cwt Truck,trucks,680,trucks,680,0,100
BRI_FORD/CHEVROLET_3_TON_TRUCK,Ford/Chevrolet 3-ton Truck,trucks,420,trucks,420,0,100
BRI_MORRIS_CS8_15CWT,Morris CS8 15cwt,trucks,180,trucks,180,0,100
BRI_NORTON_16H,Norton 16H,motorcycles,165,motorcycles,165,0,100
BRI_BSA_M20,BSA M20,motorcycles,115,motorcycles,115,0,100
BRI_ORDNANCE_QF_25_POUNDER_GUN_HOWITZER_MK_II,Ordnance QF 25-pounder Gun-Howitzer Mk II,field_artillery,72,field_artillery,68,4,94
BRI_ORDNANCE_QF_2_POUNDER_ANTI_TANK_GUN,Ordnance QF 2-pounder Anti-Tank Gun,anti_tank,48,anti_tank,44,4,91
