equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
BRI_MARMON_HERRINGTON_MK_II,Marmon-Herrington Mk II,armored_cars,6,armored_cars,5,1,83
BRI_DAIMLER_SCOUT_CAR,Daimler Scout Car,armored_cars,4,armored_cars,4,0,100
BRI_BEDFORD_MW_15CWT,Bedford MW 15cwt,trucks,58,trucks,58,0,100
BRI_BEDFORD_QL_3_TON,Bedford QL 3-ton,trucks,92,trucks,92,0,100
BRI_CMP_15CWT,CMP 15cwt,trucks,38,trucks,38,0,100
BRI_CMP_3_TON,CMP 3-ton,trucks,40,trucks,40,0,100
BRI_NORTON_16H,Norton 16H,motorcycles,28,motorcycles,28,0,100
BRI_BSA_M20,BSA M20,motorcycles,10,motorcycles,10,0,100
BRI_ORDNANCE_QF_2_POUNDER,Ordnance QF 2-pounder,anti_tank,6,anti_tank,6,0,100
BRI_BOYS_ANTI_TANK_RIFLE,Boys Anti-Tank Rifle,anti_tank,4,anti_tank,4,0,100
BRI_BOFORS_40MM,Bofors 40mm,anti_aircraft,2,anti_aircraft,2,0,100
