equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
BRI_CRUSADER_MK_I,Crusader Mk I,tanks,85,tanks,72,13,84
BRI_CRUSADER_MK_II,Crusader Mk II,tanks,65,tanks,58,7,89
BRI_CRUISER_MK_IV_(A13),Cruiser Mk IV (A13),tanks,48,tanks,42,6,87
BRI_CRUISER_MK_V_(A13_MK_II),Cruiser Mk V (A13 Mk II),tanks,45,tanks,39,6,86
BRI_CRUISER_MK_II_(A10),Cruiser Mk II (A10),tanks,36,tanks,34,2,94
BRI_M3_STUART_(HONEY),M3 Stuart (Honey),tanks,166,tanks,153,13,92
BRI_MARMON_HERRINGTON_MK_II,Marmon-Herrington Mk II,armored_cars,77,armored_cars,69,8,89
BRI_MARMON_HERRINGTON_MK_III,Marmon-Herrington Mk III,armored_cars,24,armored_cars,22,2,91
BRI_HUMBER_MK_I,Humber Mk I,armored_cars,33,armored_cars,30,3,90
BRI_BEDFORD_OY_3_TON,Bedford OY 3-ton,trucks,945,trucks,945,0,100
BRI_BEDFORD_MW_15CWT,Bedford MW 15cwt,trucks,1175,trucks,1175,0,100
BRI_FORD_3_TON,Ford 3-ton,trucks,685,trucks,685,0,100
BRI_MORRIS_COMMERCIAL_CS8,Morris Commercial CS8,trucks,795,trucks,795,0,100
BRI_CMP_CHEVROLET_3_TON,CMP Chevrolet 3-ton,trucks,425,trucks,425,0,100
BRI_CHEVROLET_C15A,Chevrolet C15A,trucks,310,trucks,310,0,100
BRI_FORD_WOT_15CWT,Ford WOT 15cwt,trucks,245,trucks,245,0,100
BRI_MORRIS_C8_ARTILLERY_TRACTOR,Morris C8 Artillery Tractor,trucks,110,trucks,110,0,100
BRI_ARTILLERY_TRACTOR_(QUAD),Artillery Tractor (Quad),trucks,148,trucks,148,0,100
BRI_DRAGON_LIGHT_MK_III,Dragon Light Mk III,trucks,76,trucks,76,0,100
BRI_AEC_MATADOR_ARTILLERY_TRACTOR,AEC Matador Artillery Tractor,trucks,64,trucks,64,0,100
BRI_STAFF_CARS,Staff Cars,trucks,492,trucks,492,0,100
BRI_AMBULANCES,Ambulances,trucks,159,trucks,159,0,100
BRI_WORKSHOP/RECOVERY_VEHICLES,Workshop/Recovery Vehicles,trucks,99,trucks,99,0,100
BRI_WATER_BOWSERS,Water Bowsers,trucks,62,trucks,62,0,100
BRI_WIRELESS_TRUCKS,Wireless Trucks,trucks,38,trucks,38,0,100
BRI_BSA_M20,BSA M20,motorcycles,452,motorcycles,452,0,100
BRI_NORTON_16H,Norton 16H,motorcycles,270,motorcycles,270,0,100
BRI_ORDNANCE_QF_25_POUNDER_GUN_HOWITZER,Ordnance QF 25-pounder Gun-Howitzer,field_artillery,152,field_artillery,152,0,100
BRI_ORDNANCE_QF_2_POUNDER,Ordnance QF 2-pounder,anti_tank,96,anti_tank,96,0,100
BRI_ORDNANCE_QF_6_POUNDER,Ordnance QF 6-pounder,anti_tank,8,anti_tank,8,0,100
BRI_BOFORS_40MM,Bofors 40mm,anti_aircraft,32,anti_aircraft,32,0,100
BRI_QF_3.7_INCH,QF 3.7-inch,anti_aircraft,12,anti_aircraft,12,0,100
