equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
BRI_CRUSADER_II,Crusader II,tanks,48,tanks,42,6,87
BRI_VALENTINE_II,Valentine II,tanks,14,tanks,12,2,85
BRI_VALENTINE_IV,Valentine IV,tanks,6,tanks,5,1,83
BRI_STUART_M3_'HONEY',Stuart M3 'Honey',tanks,26,tanks,24,2,92
BRI_CRUISER_IV_A13,Cruiser IV A13,tanks,11,tanks,8,3,72
BRI_MARMON_HERRINGTON_MK_II,Marmon-Herrington Mk II,armored_cars,32,armored_cars,28,4,87
BRI_HUMBER_MK_III,Humber Mk III,armored_cars,24,armored_cars,22,2,91
BRI_DAIMLER_MK_I,Daimler Mk I,armored_cars,12,armored_cars,11,1,91
BRI_UNIVERSAL_CARRIER,Universal Carrier,halftracks,12,halftracks,10,2,83
BRI_BEDFORD_OY_3_TON,Bedford OY 3-ton,trucks,580,trucks,580,0,100
BRI_AUSTIN_K3_3_TON,Austin K3 3-ton,trucks,360,trucks,360,0,100
BRI_MORRIS_CS8_15_CWT,Morris CS8 15-cwt,trucks,285,trucks,285,0,100
BRI_CHEVROLET_30_CWT,Chevrolet 30-cwt,trucks,200,trucks,200,0,100
BRI_BSA_M20,BSA M20,motorcycles,86,motorcycles,86,0,100
BRI_NORTON_16H,Norton 16H,motorcycles,56,motorcycles,56,0,100
BRI_ORDNANCE_QF_25_POUNDER,Ordnance QF 25-pounder,field_artillery,48,field_artillery,48,0,100
BRI_ORDNANCE_QF_2_POUNDER,Ordnance QF 2-pounder,anti_tank,16,anti_tank,16,0,100
BRI_BOFORS_40MM,Bofors 40mm,anti_aircraft,8,anti_aircraft,8,0,100
