equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
BRI_MARMON_HERRINGTON_MK_II,Marmon-Herrington Mk II,armored_cars,18,armored_cars,16,2,88
BRI_HUMBER_MK_II,Humber Mk II,armored_cars,10,armored_cars,9,1,90
BRI_MORRIS_C8_15_CWT,Morris C8 15-cwt,trucks,480,trucks,480,0,100
BRI_BEDFORD_MW_15_CWT,Bedford MW 15-cwt,trucks,420,trucks,420,0,100
BRI_BEDFORD_QL_3_TON,Bedford QL 3-ton,trucks,385,trucks,385,0,100
BRI_FORD_F15A_3_TON,Ford F15A 3-ton,trucks,235,trucks,235,0,100
BRI_NORTON_16H,Norton 16H,motorcycles,92,motorcycles,92,0,100
BRI_BSA_M20,BSA M20,motorcycles,53,motorcycles,53,0,100
BRI_QF_25_POUNDER_GUN_HOWITZER,QF 25-pounder Gun-Howitzer,field_artillery,48,field_artillery,48,0,100
BRI_QF_2_POUNDER_ANTI_TANK_GUN,QF 2-pounder Anti-Tank Gun,anti_tank,12,anti_tank,12,0,100
BRI_QF_6_POUNDER_ANTI_TANK_GUN,QF 6-pounder Anti-Tank Gun,anti_tank,4,anti_tank,4,0,100
BRI_QF_40MM_BOFORS,QF 40mm Bofors,anti_aircraft,8,anti_aircraft,8,0,100
