equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
BRI_HUMBER_ARMOURED_CAR,Humber Armoured Car,armored_cars,24,armored_cars,24,0,100
BRI_DAIMLER_ARMOURED_CAR,Daimler Armoured Car,armored_cars,16,armored_cars,16,0,100
BRI_MARMON_HERRINGTON_MK_II,Marmon-Herrington Mk II,armored_cars,8,armored_cars,8,0,100
BRI_BEDFORD_QL/OY,Bedford QL/OY,trucks,685,trucks,685,0,100
BRI_MORRIS_COMMERCIAL,Morris Commercial,trucks,545,trucks,545,0,100
BRI_CMP_CHEVROLET_C60L,CMP Chevrolet C60L,trucks,425,trucks,425,0,100
BRI_AUSTIN_K2,Austin K2,trucks,185,trucks,185,0,100
BRI_BEDFORD_MW,Bedford MW,trucks,125,trucks,125,0,100
BRI_NORTON_16H,Norton 16H,motorcycles,115,motorcycles,115,0,100
BRI_BSA_M20,BSA M20,motorcycles,50,motorcycles,50,0,100
BRI_ORDNANCE_QF_25_POUNDER,Ordnance QF 25-pounder,field_artillery,72,field_artillery,72,0,100
BRI_ORDNANCE_QF_6_POUNDER,Ordnance QF 6-pounder,anti_tank,36,anti_tank,36,0,100
BRI_ORDNANCE_QF_2_POUNDER,Ordnance QF 2-pounder,anti_tank,12,anti_tank,12,0,100
BRI_BOFORS_40MM,Bofors 40mm,anti_aircraft,12,anti_aircraft,12,0,100
BRI_OERLIKON_20MM,Oerlikon 20mm,anti_aircraft,4,anti_aircraft,4,0,100
