equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
BRI_HUMBER_ARMOURED_CAR_MK_II,Humber Armoured Car Mk II,armored_cars,28,armored_cars,24,4,85
BRI_DAIMLER_ARMOURED_CAR,Daimler Armoured Car,armored_cars,16,armored_cars,14,2,87
BRI_MORRIS_COMMERCIAL_CS8,Morris Commercial CS8,trucks,820,trucks,820,0,100
BRI_BEDFORD_QL,Bedford QL,trucks,680,trucks,680,0,100
BRI_BEDFORD_MW,Bedford MW,trucks,620,trucks,620,0,100
BRI_AUSTIN_K2,Austin K2,trucks,330,trucks,330,0,100
BRI_FORD_WOT2,Ford WOT2,trucks,200,trucks,200,0,100
BRI_NORTON_16H,Norton 16H,motorcycles,165,motorcycles,165,0,100
BRI_BSA_M20,BSA M20,motorcycles,80,motorcycles,80,0,100
BRI_ORDNANCE_QF_25_POUNDER,Ordnance QF 25-pounder,field_artillery,72,field_artillery,72,0,100
BRI_ORDNANCE_QF_6_POUNDER_(57MM),Ordnance QF 6-pounder (57mm),anti_tank,44,anti_tank,44,0,100
BRI_ORDNANCE_QF_2_POUNDER_(40MM),Ordnance QF 2-pounder (40mm),anti_tank,4,anti_tank,4,0,100
BRI_BOFORS_40MM,Bofors 40mm,anti_aircraft,36,anti_aircraft,36,0,100
BRI_VICKERS_.303_INCH_MACHINE_GUN_(AA_MOUNT),Vickers .303-inch Machine Gun (AA mount),anti_aircraft,12,anti_aircraft,12,0,100
