equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
BRI_M4_SHERMAN,M4 Sherman,tanks,48,tanks,43,5,89
BRI_M3_GRANT,M3 Grant,tanks,38,tanks,33,5,86
BRI_CRUSADER_III,Crusader III,tanks,32,tanks,28,4,87
BRI_M3_STUART_(HONEY),M3 Stuart (Honey),tanks,40,tanks,34,6,85
BRI_CRUSADER_II,Crusader II,tanks,14,tanks,10,4,71
BRI_HUMBER_ARMOURED_CAR_MK_III,Humber Armoured Car Mk III,armored_cars,72,armored_cars,64,8,88
BRI_MARMON_HERRINGTON_MK_III,Marmon-Herrington Mk III,armored_cars,42,armored_cars,38,4,90
BRI_DAIMLER_ARMOURED_CAR,Daimler Armoured Car,armored_cars,58,armored_cars,52,6,89
BRI_BEDFORD_QL_3_TON,Bedford QL 3-ton,trucks,2465,trucks,2465,0,100
BRI_CMP_15_CWT,CMP 15-cwt,trucks,1755,trucks,1755,0,100
BRI_MORRIS_C8_15_CWT,Morris C8 15-cwt,trucks,1295,trucks,1295,0,100
BRI_BEDFORD_MW_15_CWT,Bedford MW 15-cwt,trucks,495,trucks,495,0,100
BRI_AUSTIN_K2,Austin K2,trucks,475,trucks,475,0,100
BRI_NORTON_16H,Norton 16H,motorcycles,298,motorcycles,298,0,100
BRI_BSA_M20,BSA M20,motorcycles,199,motorcycles,199,0,100
BRI_ORDNANCE_QF_25_POUNDER_MK_II,Ordnance QF 25-pounder Mk II,field_artillery,168,field_artillery,168,0,100
BRI_ORDNANCE_QF_5.5_INCH_GUN_HOWITZER,Ordnance QF 5.5-inch Gun-Howitzer,field_artillery,24,field_artillery,24,0,100
BRI_ORDNANCE_QF_6_POUNDER_(57MM),Ordnance QF 6-pounder (57mm),anti_tank,96,anti_tank,96,0,100
BRI_ORDNANCE_QF_2_POUNDER,Ordnance QF 2-pounder,anti_tank,18,anti_tank,18,0,100
BRI_BOFORS_40MM,Bofors 40mm,anti_aircraft,24,anti_aircraft,24,0,100
BRI_OERLIKON_20MM,Oerlikon 20mm,anti_aircraft,6,anti_aircraft,6,0,100
