equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
BRI_M4_SHERMAN,M4 Sherman,tanks,158,tanks,140,18,88
BRI_M3_GRANT/LEE,M3 Grant/Lee,tanks,64,tanks,52,12,81
BRI_CRUSADER_MK_III,Crusader Mk III,tanks,62,tanks,55,7,88
BRI_M3_STUART_(HONEY),M3 Stuart (Honey),tanks,76,tanks,65,11,85
BRI_CRUSADER_II,Crusader II,tanks,12,tanks,9,3,75
BRI_HUMBER_ARMOURED_CAR_MK_III,Humber Armoured Car Mk III,armored_cars,128,armored_cars,118,10,92
BRI_DAIMLER_ARMOURED_CAR,Daimler Armoured Car,armored_cars,94,armored_cars,86,8,91
BRI_MARMON_HERRINGTON_MK_III,Marmon-Herrington Mk III,armored_cars,46,armored_cars,39,7,84
BRI_BEDFORD_QL_3_TON,Bedford QL 3-ton,trucks,4728,trucks,4728,0,100
BRI_CMP_15_CWT,CMP 15-cwt,trucks,3186,trucks,3186,0,100
BRI_MORRIS_C8_15_CWT,Morris C8 15-cwt,trucks,2124,trucks,2124,0,100
BRI_BEDFORD_MW_15_CWT,Bedford MW 15-cwt,trucks,945,trucks,945,0,100
BRI_AUSTIN_K2/K3,Austin K2/K3,trucks,837,trucks,837,0,100
BRI_NORTON_16H,Norton 16H,motorcycles,770,motorcycles,770,0,100
BRI_BSA_M20,BSA M20,motorcycles,515,motorcycles,515,0,100
BRI_ORDNANCE_QF_25_POUNDER_MK_II,Ordnance QF 25-pounder Mk II,field_artillery,336,field_artillery,336,0,100
BRI_ORDNANCE_QF_5.5_INCH_GUN_HOWITZER,Ordnance QF 5.5-inch Gun-Howitzer,field_artillery,24,field_artillery,24,0,100
BRI_ORDNANCE_QF_6_POUNDER_(57MM),Ordnance QF 6-pounder (57mm),anti_tank,120,anti_tank,120,0,100
BRI_ORDNANCE_QF_17_POUNDER,Ordnance QF 17-pounder,anti_tank,12,anti_tank,12,0,100
BRI_BOFORS_40MM,Bofors 40mm,anti_aircraft,18,anti_aircraft,18,0,100
BRI_OERLIKON_20MM,Oerlikon 20mm,anti_aircraft,6,anti_aircraft,6,0,100
