equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
BRI_M4_SHERMAN,M4 Sherman,tanks,86,tanks,72,14,83
BRI_M3_GRANT/LEE,M3 Grant/Lee,tanks,52,tanks,42,10,80
BRI_CRUSADER_III,Crusader III,tanks,40,tanks,32,8,80
BRI_M3_STUART_(HONEY),M3 Stuart (Honey),tanks,52,tanks,44,8,84
BRI_CRUSADER_II,Crusader II,tanks,12,tanks,8,4,66
BRI_HUMBER_ARMOURED_CAR_MK_III,Humber Armoured Car Mk III,armored_cars,64,armored_cars,58,6,90
BRI_DAIMLER_ARMOURED_CAR,Daimler Armoured Car,armored_cars,52,armored_cars,46,6,88
BRI_MARMON_HERRINGTON_MK_III,Marmon-Herrington Mk III,armored_cars,32,armored_cars,28,4,87
BRI_BEDFORD_QL_3_TON,Bedford QL 3-ton,trucks,1950,trucks,1950,0,100
BRI_CMP_15_CWT,CMP 15-cwt,trucks,1385,trucks,1385,0,100
BRI_MORRIS_C8_15_CWT,Morris C8 15-cwt,trucks,965,trucks,965,0,100
BRI_BEDFORD_MW_15_CWT,Bedford MW 15-cwt,trucks,485,trucks,485,0,100
BRI_AUSTIN_K2,Austin K2,trucks,340,trucks,340,0,100
BRI_NORTON_16H,Norton 16H,motorcycles,265,motorcycles,265,0,100
BRI_BSA_M20,BSA M20,motorcycles,160,motorcycles,160,0,100
BRI_ORDNANCE_QF_25_POUNDER_MK_II,Ordnance QF 25-pounder Mk II,field_artillery,168,field_artillery,168,0,100
BRI_ORDNANCE_QF_5.5_INCH_GUN_HOWITZER,Ordnance QF 5.5-inch Gun-Howitzer,field_artillery,24,field_artillery,24,0,100
BRI_ORDNANCE_QF_6_POUNDER_(57MM),Ordnance QF 6-pounder (57mm),anti_tank,60,anti_tank,60,0,100
BRI_ORDNANCE_QF_17_POUNDER,Ordnance QF 17-pounder,anti_tank,12,anti_tank,12,0,100
BRI_BOFORS_40MM,Bofors 40mm,anti_aircraft,18,anti_aircraft,18,0,100
BRI_OERLIKON_20MM,Oerlikon 20mm,anti_aircraft,6,anti_aircraft,6,0,100
