equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
BRI_SHERMAN_M4,Sherman M4,tanks,160,tanks,149,11,93
BRI_SHERMAN_M4A2,Sherman M4A2,tanks,24,tanks,22,2,91
BRI_CRUSADER_III,Crusader III,tanks,72,tanks,61,11,84
BRI_GRANT_M3,Grant M3,tanks,16,tanks,14,2,87
BRI_STUART_M3_'HONEY',Stuart M3 'Honey',tanks,66,tanks,59,7,89
BRI_STUART_M5,Stuart M5,tanks,20,tanks,18,2,90
BRI_HUMBER_MK_IV,Humber Mk IV,armored_cars,88,armored_cars,81,7,92
BRI_DAIMLER_MK_II,Daimler Mk II,armored_cars,64,armored_cars,59,5,92
BRI_MARMON_HERRINGTON_MK_III,Marmon-Herrington Mk III,armored_cars,58,armored_cars,51,7,87
BRI_UNIVERSAL_CARRIER,Universal Carrier,halftracks,28,halftracks,25,3,89
BRI_BEDFORD_QL_3_TON,Bedford QL 3-ton,trucks,1485,trucks,1485,0,100
BRI_MORRIS_CS8_15_CWT,Morris CS8 15-cwt,trucks,833,trucks,833,0,100
BRI_CMP_15_CWT,CMP 15-cwt,trucks,574,trucks,574,0,100
BRI_AUSTIN_K3_3_TON,Austin K3 3-ton,trucks,385,trucks,385,0,100
BRI_BEDFORD_MW_15_CWT,Bedford MW 15-cwt,trucks,260,trucks,260,0,100
BRI_AUSTIN_K2,Austin K2,trucks,150,trucks,150,0,100
BRI_NORTON_16H,Norton 16H,motorcycles,196,motorcycles,196,0,100
BRI_BSA_M20,BSA M20,motorcycles,142,motorcycles,142,0,100
BRI_ORDNANCE_QF_25_POUNDER_MK_II,Ordnance QF 25-pounder Mk II,field_artillery,96,field_artillery,96,0,100
BRI_ORDNANCE_QF_6_POUNDER_(57MM),Ordnance QF 6-pounder (57mm),anti_tank,32,anti_tank,32,0,100
BRI_ORDNANCE_QF_2_POUNDER_(40MM),Ordnance QF 2-pounder (40mm),anti_tank,2,anti_tank,2,0,100
BRI_BOFORS_40MM,Bofors 40mm,anti_aircraft,14,anti_aircraft,14,0,100
