equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
BRI_LIGHT_TANK_MK_VI,Light Tank Mk VI,tanks,16,tanks,14,2,87
BRI_STUART_M3/M5,Stuart M3/M5,tanks,16,tanks,14,2,87
BRI_HUMBER_MK_IV,Humber Mk IV,armored_cars,130,armored_cars,123,7,94
BRI_DAIMLER_MK_II,Daimler Mk II,armored_cars,82,armored_cars,78,4,95
BRI_MARMON_HERRINGTON_MK_II/III,Marmon-Herrington Mk II/III,armored_cars,70,armored_cars,64,6,91
BRI_BEDFORD_QL/OY_3_TON,Bedford QL/OY 3-ton,trucks,3490,trucks,3490,0,100
BRI_MORRIS_COMMERCIAL_15CWT,Morris Commercial 15cwt,trucks,2505,trucks,2505,0,100
BRI_CMP_(CANADIAN_MILITARY_PATTERN)_3_TON/15CWT,CMP (Canadian Military Pattern) 3-ton/15cwt,trucks,2145,trucks,2145,0,100
BRI_AUSTIN_K2_2_TON_/_AMBULANCE,Austin K2 2-ton / Ambulance,trucks,225,trucks,225,0,100
BRI_BEDFORD_MW_15CWT,Bedford MW 15cwt,trucks,24,trucks,24,0,100
BRI_CORPS_LEVEL_TRUCKS,Corps-level trucks,trucks,340,trucks,340,0,100
BRI_NORTON_16H,Norton 16H,motorcycles,933,motorcycles,933,0,100
BRI_BSA_M20,BSA M20,motorcycles,500,motorcycles,500,0,100
BRI_ORDNANCE_QF_25_POUNDER_GUN_HOWITZER,Ordnance QF 25-pounder Gun-Howitzer,field_artillery,336,field_artillery,336,0,100
BRI_ORDNANCE_QF_5.5_INCH_GUN_HOWITZER,Ordnance QF 5.5-inch Gun-Howitzer,field_artillery,24,field_artillery,24,0,100
BRI_ORDNANCE_QF_6_POUNDER_(57MM),Ordnance QF 6-pounder (57mm),anti_tank,162,anti_tank,162,0,100
BRI_ORDNANCE_QF_17_POUNDER,Ordnance QF 17-pounder,anti_tank,36,anti_tank,36,0,100
BRI_BOFORS_40MM,Bofors 40mm,anti_aircraft,54,anti_aircraft,54,0,100
