equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
FRE_AMD_LAFFLY_50AM,AMD Laffly 50AM,armored_cars,4,armored_cars,3,1,75
FRE_BRITISH_MARMON_HERRINGTON,British Marmon-Herrington,armored_cars,4,armored_cars,4,0,100
FRE_BRITISH_BEDFORD_3_TON,British Bedford 3-ton,trucks,80,trucks,80,0,100
FRE_DODGE_3/4_TON,Dodge 3/4-ton,trucks,40,trucks,40,0,100
FRE_LAFFLY_W15T,Laffly W15T,trucks,20,trucks,20,0,100
FRE_RENAULT_AHN,Renault AHN,trucks,10,trucks,10,0,100
FRE_GNOME_&_RHÔNE,Gnome & Rhône,motorcycles,6,motorcycles,6,0,100
FRE_BSA_MOTORCYCLES_(BRITISH),BSA motorcycles (British),motorcycles,6,motorcycles,6,0,100
FRE_CANON_DE_75MM_MLE_1897,Canon de 75mm Mle 1897,field_artillery,48,field_artillery,48,0,100
FRE_CANON_DE_47MM_SA_MLE_1937,Canon de 47mm SA Mle 1937,anti_tank,12,anti_tank,12,0,100
FRE_CANON_DE_25MM_HOTCHKISS_MLE_1934,Canon de 25mm Hotchkiss Mle 1934,anti_tank,4,anti_tank,4,0,100
FRE_BOFORS_40MM,Bofors 40mm,anti_aircraft,10,anti_aircraft,10,0,100
FRE_20MM_OERLIKON,20mm Oerlikon,anti_aircraft,2,anti_aircraft,2,0,100
