equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
FRE_MARMON_HERRINGTON_MK_II,Marmon-Herrington Mk II,armored_cars,10,armored_cars,8,2,80
FRE_HUMBER_ARMOURED_CAR,Humber Armoured Car,armored_cars,4,armored_cars,3,1,75
FRE_BEDFORD_3_TON,Bedford 3-ton,trucks,150,trucks,150,0,100
FRE_CHEVROLET_15CWT,Chevrolet 15cwt,trucks,95,trucks,95,0,100
FRE_FORD_15CWT,Ford 15cwt,trucks,45,trucks,45,0,100
FRE_CANON_DE_75_MODÈLE_1897,Canon de 75 modèle 1897,field_artillery,16,field_artillery,16,0,100
FRE_QF_25_POUNDER_GUN_HOWITZER,QF 25-pounder Gun-Howitzer,field_artillery,8,field_artillery,8,0,100
FRE_QF_2_POUNDER,QF 2-pounder,anti_tank,8,anti_tank,8,0,100
FRE_CANON_DE_47_MM_SA_MLE_1937,Canon de 47 mm SA mle 1937,anti_tank,4,anti_tank,4,0,100
FRE_BOFORS_40MM_L/60,Bofors 40mm L/60,anti_aircraft,6,anti_aircraft,6,0,100
