equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
FRE_STUART_M3,Stuart M3,tanks,12,tanks,11,1,91
FRE_MARMON_HERRINGTON_MK_III,Marmon-Herrington Mk III,tanks,4,tanks,3,1,75
FRE_MARMON_HERRINGTON_MK_II,Marmon-Herrington Mk II,armored_cars,8,armored_cars,7,1,87
FRE_HUMBER_MK_III,Humber Mk III,armored_cars,6,armored_cars,5,1,83
FRE_M3_HALFTRACK,M3 Halftrack,halftracks,28,halftracks,24,4,85
FRE_BEDFORD_QL,Bedford QL,trucks,140,trucks,140,0,100
FRE_CMP_3_TON,CMP 3-ton,trucks,85,trucks,85,0,100
FRE_DODGE_WC,Dodge WC,trucks,65,trucks,65,0,100
FRE_MORRIS_COMMERCIAL,Morris Commercial,trucks,30,trucks,30,0,100
FRE_NORTON_16H,Norton 16H,motorcycles,12,motorcycles,12,0,100
FRE_BSA_M20,BSA M20,motorcycles,6,motorcycles,6,0,100
FRE_QF_25_POUNDER,QF 25-pounder,field_artillery,8,field_artillery,8,0,100
FRE_CANON_DE_75_MLE_1897,Canon de 75 mle 1897,field_artillery,6,field_artillery,6,0,100
FRE_CAPTURED_ITALIAN_ARTILLERY,Captured Italian Artillery,field_artillery,2,field_artillery,2,0,100
FRE_QF_6_POUNDER,QF 6-pounder,anti_tank,6,anti_tank,6,0,100
FRE_QF_2_POUNDER,QF 2-pounder,anti_tank,2,anti_tank,2,0,100
FRE_BOFORS_40MM,Bofors 40mm,anti_aircraft,4,anti_aircraft,4,0,100
