equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
FRE_SOMUA_S35,Somua S35,tanks,9,tanks,7,2,77
FRE_M3_STUART_(LEND_LEASE),M3 Stuart (Lend-Lease),tanks,6,tanks,5,1,83
FRE_HOTCHKISS_H39,Hotchkiss H39,tanks,8,tanks,5,3,62
FRE_RENAULT_R35,Renault R35,tanks,3,tanks,2,1,66
FRE_PANHARD_178,Panhard 178,armored_cars,13,armored_cars,10,3,76
FRE_WHITE_LAFFLY_AMD_50,White-Laffly AMD 50,armored_cars,7,armored_cars,5,2,71
FRE_RENAULT_AGC/AGK/AGP,Renault AGC/AGK/AGP,trucks,98,trucks,64,34,65
FRE_LAFFLY_V15T,Laffly V15T,trucks,56,trucks,38,18,67
FRE_GMC_CCKW_(LEND_LEASE),GMC CCKW (Lend-Lease),trucks,52,trucks,48,4,92
FRE_DODGE_WC_SERIES_(LEND_LEASE),Dodge WC series (Lend-Lease),trucks,82,trucks,70,12,85
FRE_GNOME_RHÔNE_AX2,Gnome-Rhône AX2,motorcycles,26,motorcycles,19,7,73
FRE_PEUGEOT_515,Peugeot 515,motorcycles,14,motorcycles,9,5,64
