equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
FRE_SOMUA_S35,Somua S35,tanks,7,tanks,5,2,71
FRE_M3_STUART_(LEND_LEASE),M3 Stuart (Lend-Lease),tanks,6,tanks,5,1,83
FRE_HOTCHKISS_H39,Hotchkiss H39,tanks,6,tanks,4,2,66
FRE_RENAULT_R35,Renault R35,tanks,3,tanks,2,1,66
FRE_PANHARD_178,Panhard 178,armored_cars,11,armored_cars,9,2,81
FRE_WHITE_LAFFLY_AMD_50,White-Laffly AMD 50,armored_cars,6,armored_cars,5,1,83
FRE_RENAULT_AGC/AGK/AGP,Renault AGC/AGK/AGP,trucks,94,trucks,62,32,65
FRE_LAFFLY_V15T,Laffly V15T,trucks,54,trucks,38,16,70
FRE_GMC_CCKW_(LEND_LEASE),GMC CCKW (Lend-Lease),trucks,54,trucks,50,4,92
FRE_DODGE_WC_SERIES_(LEND_LEASE),Dodge WC series (Lend-Lease),trucks,79,trucks,68,11,86
FRE_GNOME_RHÔNE_AX2,Gnome-Rhône AX2,motorcycles,25,motorcycles,18,7,72
FRE_PEUGEOT_515,Peugeot 515,motorcycles,13,motorcycles,9,4,69
