equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
GER_PANZER_III_AUSF._G,Panzer III Ausf. G,tanks,63,tanks,54,9,85
GER_PANZER_III_AUSF._H,Panzer III Ausf. H,tanks,72,tanks,62,10,86
GER_PANZER_III_AUSF._J,Panzer III Ausf. J,tanks,15,tanks,14,1,93
GER_PANZER_IV_AUSF._E,Panzer IV Ausf. E,tanks,26,tanks,22,4,84
GER_PANZER_IV_AUSF._F,Panzer IV Ausf. F,tanks,20,tanks,17,3,85
GER_PANZER_IV_AUSF._F1,Panzer IV Ausf. F1,tanks,6,tanks,5,1,83
GER_PANZER_II_AUSF._C,Panzer II Ausf. C,tanks,28,tanks,24,4,85
GER_PANZER_II_AUSF._F,Panzer II Ausf. F,tanks,32,tanks,28,4,87
GER_OPEL_BLITZ_3_TON,Opel Blitz 3-ton,trucks,30,trucks,30,0,100
GER_MERCEDES_BENZ_L3000,Mercedes-Benz L3000,trucks,15,trucks,15,0,100
GER_HORCH_KFZ.15,Horch Kfz.15,trucks,10,trucks,10,0,100
GER_BMW_R75_WITH_SIDECAR,BMW R75 with sidecar,motorcycles,12,motorcycles,12,0,100
GER_ZÜNDAPP_KS750,Zündapp KS750,motorcycles,6,motorcycles,6,0,100
