equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
GER_PZ.KPFW.III_AUSF_H_(5CM_L/42),Pz.Kpfw.III Ausf H (5cm L/42),tanks,32,tanks,24,8,75
GER_PZ.KPFW.III_AUSF_J_(5CM_L/42),Pz.Kpfw.III Ausf J (5cm L/42),tanks,48,tanks,34,14,70
GER_PZ.KPFW.III_AUSF_L_(5CM_L/60),Pz.Kpfw.III Ausf L (5cm L/60),tanks,12,tanks,9,3,75
GER_PZ.KPFW.IV_AUSF_F1_(7.5CM_L/24),Pz.Kpfw.IV Ausf F1 (7.5cm L/24),tanks,10,tanks,7,3,70
GER_PZ.KPFW.IV_AUSF_F2_(7.5CM_L/43),Pz.Kpfw.IV Ausf F2 (7.5cm L/43),tanks,8,tanks,6,2,75
GER_PZ.KPFW.II_AUSF_F,Pz.Kpfw.II Ausf F,tanks,32,tanks,22,10,68
GER_SDKFZ_222,SdKfz 222,armored_cars,18,armored_cars,15,3,83
GER_SDKFZ_232_(8_RAD),SdKfz 232 (8-rad),armored_cars,10,armored_cars,8,2,80
GER_SDKFZ_231_(6_RAD),SdKfz 231 (6-rad),armored_cars,4,armored_cars,3,1,75
GER_SDKFZ_251,SdKfz 251,halftracks,122,halftracks,104,18,85
GER_SDKFZ_250,SdKfz 250,halftracks,66,halftracks,56,10,84
GER_OPEL_BLITZ_3_TON,Opel Blitz 3-ton,trucks,740,trucks,625,115,84
GER_MERCEDES_BENZ_L3000,Mercedes-Benz L3000,trucks,350,trucks,295,55,84
GER_VARIOUS_LIGHT_TRUCKS,Various light trucks,trucks,190,trucks,160,30,84
GER_BMW_R75,BMW R75,motorcycles,270,motorcycles,228,42,84
GER_ZÜNDAPP_KS750,Zündapp KS750,motorcycles,168,motorcycles,142,26,84
GER_10.5CM_LEFH_18,10.5cm leFH 18,field_artillery,28,field_artillery,26,2,92
GER_5CM_PAK_38,5cm PaK 38,anti_tank,30,anti_tank,28,2,93
GER_7.5CM_PAK_40,7.5cm PaK 40,anti_tank,6,anti_tank,6,0,100
GER_3.7CM_PAK_36,3.7cm PaK 36,anti_tank,12,anti_tank,11,1,91
GER_8.8CM_FLAK_18/36,8.8cm FlaK 18/36,anti_aircraft,12,anti_aircraft,11,1,91
GER_2CM_FLAK_30/38,2cm FlaK 30/38,anti_aircraft,30,anti_aircraft,28,2,93
