equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
GER_PANZER_III_AUSF_J/L,Panzer III Ausf J/L,tanks,45,tanks,32,13,71
GER_PANZER_IV_AUSF_F2/G,Panzer IV Ausf F2/G,tanks,54,tanks,42,12,77
GER_PANZER_II_AUSF_F,Panzer II Ausf F,tanks,28,tanks,21,7,75
GER_PANZER_III_AUSF_E/F_(COMMAND),Panzer III Ausf E/F (command),tanks,15,tanks,10,5,66
GER_SDKFZ_222,SdKfz 222,armored_cars,36,armored_cars,30,6,83
GER_SDKFZ_231_(8_RAD),SdKfz 231 (8-rad),armored_cars,22,armored_cars,18,4,81
GER_SDKFZ_251,SdKfz 251,halftracks,180,halftracks,162,18,90
GER_SDKFZ_250,SdKfz 250,halftracks,55,halftracks,49,6,89
GER_SDKFZ_11,SdKfz 11,halftracks,50,halftracks,44,6,88
GER_OPEL_BLITZ_3_TON,Opel Blitz 3-ton,trucks,2850,trucks,2850,0,100
GER_MERCEDES_BENZ_L3000,Mercedes-Benz L3000,trucks,1080,trucks,1080,0,100
GER_KRUPP_L2H43/143,Krupp L2H43/143,trucks,620,trucks,620,0,100
GER_VARIOUS_LIGHT_TRUCKS,Various light trucks,trucks,400,trucks,400,0,100
GER_BMW_R75_(WITH_SIDECAR),BMW R75 (with sidecar),motorcycles,520,motorcycles,520,0,100
GER_ZÜNDAPP_KS750,Zündapp KS750,motorcycles,235,motorcycles,235,0,100
GER_DKW_NZ350,DKW NZ350,motorcycles,160,motorcycles,160,0,100
GER_10.5CM_LEFH_18,10.5cm leFH 18,field_artillery,58,field_artillery,58,0,100
GER_15CM_SFH_18,15cm sFH 18,field_artillery,24,field_artillery,24,0,100
GER_15.5CM_FRENCH_GUNS,15.5cm French guns,field_artillery,4,field_artillery,4,0,100
GER_BRITISH_25_POUNDER,British 25-pounder,field_artillery,4,field_artillery,4,0,100
GER_15CM_NEBELWERFER,15cm Nebelwerfer,field_artillery,5,field_artillery,5,0,100
GER_7.5CM_PAK_40,7.5cm PaK 40,anti_tank,21,anti_tank,21,0,100
GER_5CM_PAK_38,5cm PaK 38,anti_tank,11,anti_tank,11,0,100
GER_8.8CM_FLAK_36,8.8cm FlaK 36,anti_aircraft,6,anti_aircraft,6,0,100
GER_2CM_FLAK_38,2cm FlaK 38,anti_aircraft,9,anti_aircraft,9,0,100
