equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
GER_PANZER_II,Panzer II,tanks,9,tanks,7,2,77
GER_PANZER_III_(SHORT_50MM_L/42),Panzer III (short 50mm L/42),tanks,62,tanks,38,24,61
GER_PANZER_III_(LONG_50MM_L/60),Panzer III (long 50mm L/60),tanks,88,tanks,54,34,61
GER_PANZER_IV_(SHORT_75MM_L/24),Panzer IV (short 75mm L/24),tanks,14,tanks,8,6,57
GER_SDKFZ_222_(20MM_AUTOCANNON),SdKfz 222 (20mm autocannon),armored_cars,44,armored_cars,28,16,63
GER_SDKFZ_221_(MG),SdKfz 221 (MG),armored_cars,10,armored_cars,6,4,60
GER_SDKFZ_231/232_(8_RAD_HEAVY),SdKfz 231/232 (8-rad heavy),armored_cars,29,armored_cars,18,11,62
GER_SDKFZ_260/261_(RADIO),SdKfz 260/261 (Radio),armored_cars,18,armored_cars,13,5,72
GER_SDKFZ_251_(HANOMAG),SdKfz 251 (Hanomag),halftracks,143,halftracks,90,53,62
GER_SDKFZ_250_(LIGHT),SdKfz 250 (Light),halftracks,71,halftracks,46,25,64
GER_SDKFZ_10_(1_TON_PRIME_MOVER),SdKfz 10 (1-ton prime mover),halftracks,40,halftracks,27,13,67
GER_SDKFZ_11_(3_TON_PRIME_MOVER),SdKfz 11 (3-ton prime mover),halftracks,6,halftracks,4,2,66
GER_OPEL_BLITZ_3_TON,Opel Blitz 3-ton,trucks,1497,trucks,1015,482,67
GER_MERCEDES_BENZ_L3000,Mercedes-Benz L3000,trucks,665,trucks,450,215,67
GER_LANCIA_3RO_(ITALIAN),Lancia 3Ro (Italian),trucks,280,trucks,170,110,60
GER_FIAT_626_(ITALIAN),Fiat 626 (Italian),trucks,240,trucks,145,95,60
GER_LIGHT_TRUCKS_(KFZ_2/15/17),Light trucks (Kfz 2/15/17),trucks,655,trucks,485,170,74
GER_MEDIUM_TRUCKS_(2_TON),Medium trucks (2-ton),trucks,275,trucks,185,90,67
GER_HEAVY_TRUCKS_(4.5_TON),Heavy trucks (4.5-ton),trucks,402,trucks,270,132,67
GER_CAPTURED_BRITISH_VEHICLES,Captured British vehicles,trucks,68,trucks,40,28,58
GER_BMW_R75_(WITH_SIDECAR),BMW R75 (with sidecar),motorcycles,608,motorcycles,438,170,72
GER_ZÜNDAPP_KS750_(WITH_SIDECAR),Zündapp KS750 (with sidecar),motorcycles,361,motorcycles,260,101,72
GER_DKW_NZ350_(SOLO),DKW NZ350 (solo),motorcycles,113,motorcycles,82,31,72
GER_10.5CM_LEFH_18,10.5cm leFH 18,field_artillery,96,field_artillery,88,8,91
GER_15CM_SFH_18,15cm sFH 18,field_artillery,32,field_artillery,26,6,81
GER_10CM_K_18,10cm K 18,field_artillery,4,field_artillery,4,0,100
GER_7.5CM_PAK_40,7.5cm PaK 40,anti_tank,23,anti_tank,18,5,78
GER_5CM_PAK_38,5cm PaK 38,anti_tank,75,anti_tank,62,13,82
GER_3.7CM_PAK_36,3.7cm PaK 36,anti_tank,18,anti_tank,10,8,55
GER_7.62CM_PAK_36(R)_ON_MARDER_II/III,7.62cm PaK 36(r) on Marder II/III,anti_tank,6,anti_tank,5,1,83
GER_8.8CM_FLAK_18/36/37,8.8cm FlaK 18/36/37,anti_aircraft,48,anti_aircraft,34,14,70
GER_3.7CM_FLAK_36,3.7cm FlaK 36,anti_aircraft,24,anti_aircraft,18,6,75
GER_2CM_FLAK_38,2cm FlaK 38,anti_aircraft,193,anti_aircraft,115,78,59
