equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
GER_SDKFZ_222,SdKfz 222,armored_cars,5,armored_cars,4,1,80
GER_CAPTURED_BRITISH_ARMORED_CARS,Captured British armored cars,armored_cars,3,armored_cars,2,1,66
GER_OPEL_BLITZ_3_TON,Opel Blitz 3-ton,trucks,95,trucks,95,0,100
GER_MERCEDES_BENZ_L3000,Mercedes-Benz L3000,trucks,65,trucks,65,0,100
GER_CAPTURED_BRITISH_TRUCKS,Captured British trucks,trucks,85,trucks,85,0,100
GER_FUEL_TANKERS,Fuel tankers,trucks,25,trucks,25,0,100
GER_WATER_TANKERS,Water tankers,trucks,15,trucks,15,0,100
GER_BMW_R75,BMW R75,motorcycles,42,motorcycles,42,0,100
GER_ZÜNDAPP_KS_750,Zündapp KS 750,motorcycles,30,motorcycles,30,0,100
GER_7.5CM_LEICHTES_INFANTERIEGESCHÜTZ_18,7.5cm leichtes Infanteriegeschütz 18,field_artillery,18,field_artillery,18,0,100
GER_10.5CM_LEFH_18,10.5cm leFH 18,field_artillery,6,field_artillery,6,0,100
GER_3.7CM_PAK_36,3.7cm PaK 36,anti_tank,18,anti_tank,18,0,100
GER_5CM_PAK_38,5cm PaK 38,anti_tank,12,anti_tank,12,0,100
GER_7.5CM_PAK_40,7.5cm PaK 40,anti_tank,2,anti_tank,2,0,100
GER_2CM_FLAK_38,2cm FlaK 38,anti_aircraft,12,anti_aircraft,12,0,100
GER_2CM_FLAKVIERLING_38,2cm Flakvierling 38,anti_aircraft,6,anti_aircraft,6,0,100
