equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
GER_SDKFZ_222,SdKfz 222,armored_cars,5,armored_cars,3,2,60
GER_SDKFZ_231,SdKfz 231,armored_cars,4,armored_cars,2,2,50
GER_SDKFZ_232,SdKfz 232,armored_cars,3,armored_cars,1,2,33
GER_SDKFZ_250,SdKfz 250,halftracks,11,halftracks,6,5,54
GER_SDKFZ_251,SdKfz 251,halftracks,15,halftracks,8,7,53
GER_OPEL_BLITZ_3T,Opel Blitz 3t,trucks,130,trucks,130,0,100
GER_LANCIA_3RO,Lancia 3Ro,trucks,168,trucks,168,0,100
GER_FIAT_626,Fiat 626,trucks,145,trucks,145,0,100
GER_MERCEDES_L3000,Mercedes L3000,trucks,77,trucks,77,0,100
GER_BMW_R75,BMW R75,motorcycles,112,motorcycles,112,0,100
GER_ZÜNDAPP_KS750,Zündapp KS750,motorcycles,87,motorcycles,87,0,100
GER_DKW_NZ350,DKW NZ350,motorcycles,61,motorcycles,61,0,100
GER_10.5CM_LEFH_18,10.5cm leFH 18,field_artillery,18,field_artillery,18,0,100
GER_15CM_SFH_18,15cm sFH 18,field_artillery,9,field_artillery,9,0,100
GER_7.5CM_PAK_40,7.5cm PaK 40,anti_tank,6,anti_tank,6,0,100
GER_5CM_PAK_38,5cm PaK 38,anti_tank,20,anti_tank,20,0,100
GER_3.7CM_PAK_36,3.7cm PaK 36,anti_tank,12,anti_tank,12,0,100
GER_8.8CM_FLAK_18/36,8.8cm FlaK 18/36,anti_aircraft,4,anti_aircraft,4,0,100
GER_3.7CM_FLAK_36,3.7cm FlaK 36,anti_aircraft,8,anti_aircraft,8,0,100
GER_2CM_FLAK_38,2cm FlaK 38,anti_aircraft,17,anti_aircraft,17,0,100
