equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
GER_PZ.KPFW.VI_TIGER_AUSF_E,Pz.Kpfw.VI Tiger Ausf E,tanks,18,tanks,15,3,83
GER_PZ.KPFW.III_AUSF_L/M_(5CM_L/60),Pz.Kpfw.III Ausf L/M (5cm L/60),tanks,82,tanks,65,17,79
GER_PZ.KPFW.III_AUSF_N_(7.5CM_L/24),Pz.Kpfw.III Ausf N (7.5cm L/24),tanks,28,tanks,22,6,78
GER_PZ.KPFW.IV_AUSF_F2/G_(7.5CM_L/43),Pz.Kpfw.IV Ausf F2/G (7.5cm L/43),tanks,42,tanks,32,10,76
GER_PZ.KPFW.IV_AUSF_H_(7.5CM_L/48),Pz.Kpfw.IV Ausf H (7.5cm L/48),tanks,40,tanks,34,6,85
GER_PZ.KPFW.II_AUSF_F,Pz.Kpfw.II Ausf F,tanks,30,tanks,20,10,66
GER_SDKFZ_222,SdKfz 222,armored_cars,35,armored_cars,26,9,74
GER_SDKFZ_232_(8_RAD),SdKfz 232 (8-rad),armored_cars,22,armored_cars,16,6,72
GER_SDKFZ_234_PUMA,SdKfz 234 Puma,armored_cars,11,armored_cars,9,2,81
GER_SDKFZ_251,SdKfz 251,halftracks,245,halftracks,190,55,77
GER_SDKFZ_250,SdKfz 250,halftracks,135,halftracks,105,30,77
GER_OPEL_BLITZ_3_TON,Opel Blitz 3-ton,trucks,2800,trucks,1950,850,69
GER_MERCEDES_BENZ_L3000,Mercedes-Benz L3000,trucks,1320,trucks,920,400,69
GER_VARIOUS_LIGHT_TRUCKS,Various light trucks,trucks,850,trucks,590,260,69
GER_CAPTURED_ALLIED_VEHICLES,Captured Allied vehicles,trucks,1230,trucks,850,380,69
GER_BMW_R75,BMW R75,motorcycles,560,motorcycles,420,140,75
GER_ZÜNDAPP_KS750,Zündapp KS750,motorcycles,360,motorcycles,270,90,75
GER_10.5CM_LEFH_18,10.5cm leFH 18,field_artillery,98,field_artillery,88,10,89
GER_15CM_SFH_18,15cm sFH 18,field_artillery,32,field_artillery,28,4,87
GER_10CM_K_18,10cm K 18,field_artillery,15,field_artillery,13,2,86
GER_5CM_PAK_38,5cm PaK 38,anti_tank,72,anti_tank,65,7,90
GER_7.5CM_PAK_40,7.5cm PaK 40,anti_tank,52,anti_tank,48,4,92
GER_3.7CM_PAK_36,3.7cm PaK 36,anti_tank,16,anti_tank,14,2,87
GER_8.8CM_FLAK_18/36/37,8.8cm FlaK 18/36/37,anti_aircraft,42,anti_aircraft,38,4,90
GER_2CM_FLAK_30/38,2cm FlaK 30/38,anti_aircraft,53,anti_aircraft,45,8,84
