equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
GER_PANZER_IV_AUSF_F2/G,Panzer IV Ausf F2/G,tanks,27,tanks,24,3,88
GER_PANZER_III_AUSF_J/L,Panzer III Ausf J/L,tanks,15,tanks,11,4,73
GER_SDKFZ_222,SdKfz 222,armored_cars,18,armored_cars,15,3,83
GER_SDKFZ_231_(8_RAD),SdKfz 231 (8-rad),armored_cars,10,armored_cars,8,2,80
GER_SDKFZ_251,SdKfz 251,halftracks,62,halftracks,54,8,87
GER_SDKFZ_250,SdKfz 250,halftracks,23,halftracks,19,4,82
GER_OPEL_BLITZ_3_TON,Opel Blitz 3-ton,trucks,280,trucks,280,0,100
GER_MERCEDES_BENZ_L3000,Mercedes-Benz L3000,trucks,140,trucks,140,0,100
GER_BMW_R75_(WITH_SIDECAR),BMW R75 (with sidecar),motorcycles,95,motorcycles,95,0,100
GER_ZÜNDAPP_KS_750,Zündapp KS 750,motorcycles,50,motorcycles,50,0,100
GER_15CM_SFH_18,15cm sFH 18,field_artillery,12,field_artillery,12,0,100
GER_10.5CM_LEFH_18,10.5cm leFH 18,field_artillery,24,field_artillery,24,0,100
GER_7.5CM_PAK_40,7.5cm PaK 40,anti_tank,18,anti_tank,18,0,100
GER_5CM_PAK_38,5cm PaK 38,anti_tank,6,anti_tank,6,0,100
GER_8.8CM_FLAK_36,8.8cm FlaK 36,anti_aircraft,12,anti_aircraft,12,0,100
GER_2CM_FLAK_38,2cm FlaK 38,anti_aircraft,12,anti_aircraft,12,0,100
