equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_FIAT_634N,Fiat 634N,trucks,110,trucks,100,10,90
ITA_FIAT_626,Fiat 626,trucks,85,trucks,75,10,88
ITA_LANCIA_3RO,Lancia 3Ro,trucks,50,trucks,45,5,90
ITA_FIAT_618,Fiat 618,trucks,24,trucks,20,4,83
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,35,motorcycles,33,2,94
ITA_BIANCHI_MT_500,Bianchi MT 500,motorcycles,24,motorcycles,22,2,91
ITA_CANNONE_DA_75/27_MODELLO_06,Cannone da 75/27 Modello 06,field_artillery,24,field_artillery,23,1,95
ITA_OBICE_DA_100/17_MODELLO_14,Obice da 100/17 Modello 14,field_artillery,12,field_artillery,11,1,91
ITA_CANNONE_DA_47/32_MODELLO_35,Cannone da 47/32 Modello 35,anti_tank,8,anti_tank,8,0,100
ITA_CANNONE_MITRAGLIERA_DA_20/65_MODELLO_35_(BREDA),Cannone-Mitragliera da 20/65 Modello 35 (Breda),anti_aircraft,24,anti_aircraft,22,2,91
