equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_AUTOBLINDA_AB_40,Autoblinda AB 40,armored_cars,8,armored_cars,6,2,75
ITA_FIAT_634N_(3_TON),Fiat 634N (3-ton),trucks,65,trucks,65,0,100
ITA_LANCIA_3RO_(3_TON),Lancia 3Ro (3-ton),trucks,35,trucks,35,0,100
ITA_FIAT_626_(LIGHT_TRUCK),Fiat 626 (Light truck),trucks,20,trucks,20,0,100
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,28,motorcycles,28,0,100
ITA_MOTO_GUZZI_TRIALCE,Moto Guzzi Trialce,motorcycles,14,motorcycles,14,0,100
ITA_105/28_HOWITZER,105/28 Howitzer,field_artillery,12,field_artillery,12,0,100
ITA_75/27_FIELD_GUN,75/27 Field Gun,field_artillery,12,field_artillery,12,0,100
ITA_65/17_INFANTRY_GUN,65/17 Infantry Gun,field_artillery,12,field_artillery,12,0,100
ITA_47MM_ANTI_TANK_GUN_M35,47mm Anti-Tank Gun M35,anti_tank,12,anti_tank,12,0,100
ITA_20MM_BREDA_M35,20mm Breda M35,anti_aircraft,4,anti_aircraft,4,0,100
