equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_L3/35,L3/35,tanks,12,tanks,10,2,83
ITA_AUTOBLINDA_AB_40,Autoblinda AB 40,armored_cars,8,armored_cars,7,1,87
ITA_FIAT_626N,Fiat 626N,trucks,142,trucks,142,0,100
ITA_FIAT_SPA_38R,FIAT-SPA 38R,trucks,85,trucks,85,0,100
ITA_FIAT_SPA_CL_39,FIAT-SPA CL-39,trucks,45,trucks,45,0,100
ITA_SPA_AS.37_SAHARIANO,SPA AS.37 Sahariano,trucks,40,trucks,40,0,100
ITA_GUZZI_ALCE,Guzzi Alce,motorcycles,45,motorcycles,45,0,100
ITA_BIANCHI_M35,Bianchi M35,motorcycles,40,motorcycles,40,0,100
ITA_100/17_MOD._14_HOWITZER,100/17 Mod. 14 Howitzer,field_artillery,12,field_artillery,12,0,100
ITA_75/27_MOD._06_FIELD_GUN,75/27 Mod. 06 Field Gun,field_artillery,24,field_artillery,24,0,100
ITA_47/32_MOD._35,47/32 Mod. 35,anti_tank,8,anti_tank,8,0,100
ITA_20/65_MOD._35,20/65 Mod. 35,anti_aircraft,4,anti_aircraft,4,0,100
